,N06691U
N06691U,0.0
N06731X,0.01600908448178675
N06731Y,0.09743039597061336
N26151X,0.03121896731553241
N29121G,0.027936091974048952
N29131B,0.04227591301843947
N29131C,0.027689923876602792
N29141A,0.029850911518697162
N29142H,0.07818607133028357
N29131F,0.028571454911532252
