,N29131C
N06691U,0.061495309718297676
N06731X,0.019623221276170687
N06731Y,0.07229689330002353
N26151X,0.027859898554522883
N29121G,0.03623458790351516
N29131B,0.04272302572439978
N29131C,0.0
N29141A,0.027886442537584443
N29142H,0.05046712266413347
N29131F,0.016165768606691125
