,N06411H
N06351L,0.040161173333141134
N06411H,0.0
N06421A,0.007303852427392769
N06421D,0.026764208620285668
N06421E,0.012512777019918363
N06421F,0.03902196987314297
N06421G,0.032045622748414423
N06431Y,0.040687626745073376
N31111S,0.019763237083010254
N31111U,0.006979104073496141
N31111W,0.043678865046506685
