프레임 인덱스,차량 ID,위도,경도,East (TM 좌표),North (TM 좌표),차선,차선변경여부
1993,14,36.46150129,127.2774121,224865.9649,429290.1207,3,0
1993,127,36.46157761,127.2773009,224856.0248,429298.529,4,0
1994,14,36.46148777,127.2774271,224867.2085,429288.6645,3,0
1994,127,36.46156643,127.2773139,224857.1233,429297.3642,4,0
1995,14,36.461476,127.2774389,224868.4526,429287.2053,3,0
1995,127,36.46155623,127.2773257,224858.2241,429296.1988,4,0
1996,14,36.46146176,127.2774536,224869.6811,429285.7541,3,0
1996,127,36.46154601,127.2773376,224859.3269,429295.03,4,0
1997,14,36.46144845,127.2774681,224870.9509,429284.2232,3,0
1997,127,36.46153475,127.2773507,224860.4312,429293.859,4,0
1998,14,36.46143453,127.2774813,224872.178,429282.7616,3,0
1998,127,36.46152448,127.2773626,224861.537,429292.6845,4,0
1999,14,36.46142216,127.2774946,224873.4201,429281.2814,3,0
1999,127,36.46151418,127.2773745,224862.6447,429291.5077,4,0
2000,14,36.46140835,127.2775095,224874.7054,429279.7812,3,0
2000,127,36.46150285,127.2773876,224863.754,429290.329,4,0
2001,14,36.46139389,127.2775242,224876.0204,429278.2381,3,0
2001,127,36.46149253,127.2773996,224864.8974,429289.1118,4,0
2002,14,36.46138035,127.2775385,224877.3058,429276.6828,3,0
2002,127,36.46148118,127.2774127,224866.0034,429287.9321,4,0
2003,14,36.46136621,127.2775524,224878.5129,429275.1979,3,0
2003,127,36.46147087,127.2774245,224867.1077,429286.7518,4,0
2004,14,36.46135366,127.2775645,224879.7013,429273.7222,3,0
2004,127,36.46146053,127.2774365,224868.2123,429285.5695,4,0
2005,14,36.46134037,127.2775781,224880.9141,429272.2381,3,0
2005,127,36.46144913,127.2774495,224869.3156,429284.3828,4,0
2006,14,36.46132601,127.2775929,224882.1872,429270.7087,3,0
2006,127,36.4614387,127.2774614,224870.4516,429283.153,4,0
2007,14,36.46131222,127.277607,224883.5086,429269.152,3,0
2007,127,36.4614272,127.2774744,224871.549,429281.957,4,0
2008,14,36.4612982,127.2776222,224884.7869,429267.6694,3,0
2008,127,36.46141671,127.2774861,224872.6439,429280.7587,3,1
2009,14,36.46128584,127.2776356,224886.0285,429266.2239,3,0
2009,127,36.46140622,127.2774979,224873.7008,429279.5964,3,0
2010,14,36.46127306,127.2776484,224887.2898,429264.7507,3,0
2010,127,36.46139569,127.2775096,224874.7931,429278.3921,3,0
2011,14,36.46125829,127.2776643,224888.5504,429263.2738,3,0
2011,127,36.46138407,127.2775226,224875.8848,429277.1841,3,0
2012,14,36.46124583,127.2776777,224889.8655,429261.7326,3,0
2012,127,36.46137348,127.2775343,224876.9754,429275.9735,3,0
