프레임 인덱스,차량 ID,위도,경도,East (TM 좌표),North (TM 좌표),차선,차선변경여부
1849,45,36.46216731,127.2766797,224800.0032,429363.737,1,0
1849,54,36.46230154,127.2766101,224793.8932,429378.5489,3,0
1849,56,36.46213694,127.2767935,224810.2596,429360.3626,3,0
1849,127,36.46242992,127.2763679,224772.0844,429392.9053,2,0
1850,45,36.46215389,127.2766911,224801.0789,429362.3215,1,0
1850,54,36.46228741,127.2766217,224794.8264,429377.1398,3,0
1850,56,36.46212082,127.2768075,224811.4294,429358.6886,3,0
1850,127,36.46241844,127.2763799,224773.1644,429391.6344,2,0
1851,45,36.46214166,127.2767031,224802.1225,429360.9108,1,0
1851,54,36.46227452,127.2766328,224795.8503,429375.6222,3,0
1851,56,36.46210688,127.2768193,224812.6634,429356.9383,3,0
1851,127,36.46240697,127.2763918,224774.2396,429390.3639,2,0
1852,45,36.46212909,127.2767145,224803.1974,429359.5301,1,0
1852,54,36.46226043,127.2766443,224796.8764,429374.1655,3,0
1852,56,36.46208954,127.2768346,224813.9151,429355.2347,3,0
1852,127,36.46239549,127.2764037,224775.3108,429389.0928,2,0
1853,45,36.46211648,127.2767269,224804.2916,429358.1435,1,0
1853,54,36.46224795,127.2766559,224797.8743,429372.7194,3,0
1853,56,36.46207468,127.2768493,224815.2996,429353.46,3,0
1853,127,36.46238399,127.2764156,224776.3788,429387.8227,2,0
1854,45,36.46210409,127.2767396,224805.4222,429356.8225,1,0
1854,54,36.46223534,127.2766661,224798.8843,429371.3501,3,0
1854,56,36.46205882,127.2768655,224816.5999,429351.8724,3,0
1854,127,36.46237255,127.2764274,224777.443,429386.5551,2,0
1855,45,36.4620933,127.2767522,224806.555,429355.5687,1,0
1855,54,36.46222333,127.2766779,224799.9212,429369.9931,3,0
1855,56,36.46204654,127.276878,224818.0589,429350.2191,3,0
1855,127,36.46236114,127.2764392,224778.5041,429385.2923,2,0
1856,45,36.4620825,127.2767647,224807.6963,429354.4123,1,0
1856,54,36.46221118,127.2766905,224801.0631,429368.6577,3,0
1856,56,36.46202991,127.276898,224819.534,429348.6778,3,0
1856,127,36.46234977,127.276451,224779.5639,429384.0331,2,0
1857,45,36.46207275,127.2767776,224808.8665,429353.2858,1,0
1857,54,36.46219916,127.2767042,224802.2893,429367.2668,3,0
1857,56,36.46201707,127.2769147,224821.2122,429347.0477,3,0
1857,127,36.46233843,127.2764628,224780.6252,429382.7769,2,0
1858,45,36.46206276,127.2767913,224810.0848,429352.149,1,0
1858,54,36.46218565,127.2767189,224803.5723,429365.8757,3,0
1858,56,36.46200239,127.2769341,224822.7937,429345.5621,3,0
1858,127,36.4623271,127.2764746,224781.6901,429381.5247,2,0
1859,45,36.46205169,127.2768054,224811.3413,429350.9958,1,0
1859,54,36.46217349,127.2767333,224804.7638,429364.549,3,0
1859,56,36.46198966,127.2769508,224824.516,429343.986,2,1
1859,127,36.46231584,127.2764865,224782.7579,429380.2785,2,0
1860,45,36.46204149,127.2768196,224812.6606,429349.7797,1,0
1860,54,36.46216321,127.2767439,224805.9397,429363.2832,3,0
1860,56,36.46197438,127.2769723,224826.2357,429342.4283,2,0
1860,127,36.46230465,127.2764984,224783.8625,429379.0007,2,0
1861,45,36.4620298,127.2768353,224813.9678,429348.5517,1,0
1861,54,36.46215134,127.2767581,224807.1674,429361.947,3,0
1861,56,36.46196019,127.2769915,224828.0083,429340.7454,2,0
1861,127,36.46229247,127.2765115,224784.9723,429377.7273,2,0
1862,45,36.4620184,127.276849,224815.2232,429347.2722,1,0
1862,54,36.46213728,127.2767743,224808.7407,429360.3211,3,0
1862,56,36.46194407,127.27701,224829.6552,429339.0781,2,0
1862,127,36.46228133,127.2765235,224786.0898,429376.4575,2,0
1863,45,36.46200681,127.2768615,224816.3598,429345.9765,1,0
1863,54,36.46211917,127.2767965,224810.1524,429358.7191,3,0
1863,56,36.46192922,127.2770273,224831.313,429337.1958,2,0
1863,127,36.46227024,127.2765357,224787.1795,429375.2275,2,0
1864,45,36.46199468,127.2768732,224817.4577,429344.6307,1,0
1864,54,36.46210795,127.2768052,224811.5491,429357.0852,3,0
1864,56,36.46190922,127.2770469,224832.9302,429335.2855,2,0
1864,127,36.46225913,127.2765478,224788.3059,429373.9606,2,0
1865,45,36.46198193,127.2768856,224818.5081,429343.2371,1,0
1865,54,36.46209302,127.2768209,224812.9558,429355.3428,3,0
1865,56,36.46189234,127.277064,224834.564,429333.1605,2,0
1865,127,36.46224699,127.2765611,224789.4344,429372.6906,2,0
1866,45,36.46196905,127.2768965,224819.5639,429341.8428,1,0
1866,54,36.46207198,127.2768434,224814.1834,429353.7424,3,0
1866,56,36.46187168,127.2770818,224836.0801,429331.1767,2,0
1866,127,36.46223582,127.2765733,224790.566,429371.418,2,0
1867,45,36.4619569,127.2769084,224820.5739,429340.4433,1,0
