,N06611G
N06421B,0.03369179029171732
N06431X,0.026766172737318013
N06431Z,0.010042017229744304
N06451L,0.01997055431416233
N06451P,0.048792285749920186
N06451S,0.026388499863853162
N06461T,0.02472068094505707
N06481L,0.04833079024284875
N06481P,0.01943892994944246
N06481S,0.015338264305848238
N06511A,0.01847249391232368
N06511B,0.03678208062036195
N06521E,0.03269157335133539
N06521G,0.010641723381124778
N06611G,0.0
N06611J,0.015107528883853564
N06621D,0.01940493794955659
N06731Z,0.009377508125185313
N06461E,0.058853371434737484
N06611F,0.0
N06481N,0.009091903719187742
N06482F,0.03468713950333099
N06482K,0.0
N06482J,0.042076976603621134
N06551T,0.04887416630500398
N06451R,0.051262016036280514
