,N06611F
N06421B,0.0
N06431X,0.0
N06431Z,0.0
N06451L,0.011503499585593867
N06451P,0.010772868449352926
N06451S,0.007966006530020501
N06461T,0.0
N06481L,0.0
N06481P,0.010399313717979338
N06481S,0.010802298590672148
N06511A,0.008887944676335366
N06511B,0.0
N06521E,0.00962035418813431
N06521G,0.014817647542541218
N06611G,0.0
N06611J,0.00973685428794233
N06621D,0.0
N06731Z,0.004591865978646194
N06461E,0.0
N06611F,0.0
N06481N,0.01087633142055839
N06482F,0.0
N06482K,0.005399135899678548
N06482J,0.0
N06551T,0.0
N06451R,0.0
