,N06551T
N06421B,0.03281254527378297
N06431X,0.021908308496660457
N06431Z,0.008785134352187337
N06451L,0.017887424444212367
N06451P,0.03491364034966652
N06451S,0.014434563882374856
N06461T,0.05195104410270741
N06481L,0.03431317448378231
N06481P,0.015765939092407238
N06481S,0.027672281842002665
N06511A,0.01477533550021082
N06511B,0.05278279320864781
N06521E,0.015153559922321454
N06521G,0.019871668240775294
N06611G,0.026235162840825603
N06611J,0.03564436346949461
N06621D,0.027260740279821317
N06731Z,0.0
N06461E,0.04490450673077755
N06611F,0.011716167634994142
N06481N,0.0
N06482F,0.05380028098983805
N06482K,0.0
N06482J,0.01971706559553325
N06551T,0.0
N06451R,0.03743163166284883
