,N06611J
N06421B,0.025339862968547323
N06431X,0.020094920455785786
N06431Z,0.012734129722405348
N06451L,0.04165321997795603
N06451P,0.041574651188074165
N06451S,0.02864193891214452
N06461T,0.024624163284409563
N06481L,0.057184324596632544
N06481P,0.023618690203191062
N06481S,0.018961094367038814
N06511A,0.053273063849758974
N06511B,0.015511817787007564
N06521E,0.03154945027506165
N06521G,0.010589620385605134
N06611G,0.03889601886779811
N06611J,0.0
N06621D,0.04043393311344626
N06731Z,0.007981801666545687
N06461E,0.028230126173105247
N06611F,0.011834410569151866
N06481N,0.005395352776507628
N06482F,0.03136100235241318
N06482K,0.0
N06482J,0.037075901280239264
N06551T,0.03163908312603214
N06451R,0.017081684290642725
