x,y,evt,status
-2.7203835696829324,-1.1844327010710836,0,True
-2.7203835696829324,-1.2197256897799968,1,True
-2.7203835696829324,-1.2197256897799968,1,True
-2.7203835696829324,-1.2197256897799968,1,True
-2.762916145819314,-1.255018678488907,1,True
-2.762916145819314,-1.2903116671978203,1,True
-2.762916145819314,-1.3256046559067314,1,True
-2.762916145819314,-1.3256046559067314,1,True
-2.762916145819314,-1.3256046559067314,1,True
-2.7203835696829324,-1.3256046559067314,1,True
-2.677850993546551,-1.3256046559067314,1,True
-2.677850993546551,-1.2903116671978203,1,True
-2.6353184174101694,-1.2197256897799968,1,True
-2.5927858412737894,-1.1844327010710836,1,True
-2.5502532651374077,-1.1491397123621714,1,True
-2.5502532651374077,-1.1844327010710836,1,True
-2.5502532651374077,-1.1844327010710836,1,True
-2.5927858412737894,-1.1491397123621714,1,True
-2.5927858412737894,-1.1844327010710836,1,True
-2.6353184174101694,-1.2197256897799968,1,True
-2.6353184174101694,-1.255018678488907,1,True
-2.677850993546551,-1.3256046559067314,1,True
-2.677850993546551,-1.3256046559067314,1,True
-2.677850993546551,-1.2903116671978203,1,True
-2.7203835696829324,-1.255018678488907,1,True
-2.677850993546551,-1.255018678488907,1,True
-2.677850993546551,-1.255018678488907,1,True
-2.677850993546551,-1.255018678488907,1,True
-2.677850993546551,-1.255018678488907,1,True
-2.7203835696829324,-1.2197256897799968,1,True
-2.677850993546551,-1.1844327010710836,1,True
-2.677850993546551,-1.1844327010710836,1,True
-2.6353184174101694,-1.1844327010710836,1,True
-2.677850993546551,-1.1844327010710836,1,True
-2.677850993546551,-1.1491397123621714,1,True
-2.677850993546551,-1.1138467236532603,1,True
-2.677850993546551,-1.1138467236532603,1,True
-2.7203835696829324,-1.1138467236532603,1,True
-2.7203835696829324,-1.1138467236532603,1,True
-2.762916145819314,-1.1491397123621714,1,True
-2.762916145819314,-1.1844327010710836,1,True
-2.762916145819314,-1.1844327010710836,1,True
-2.762916145819314,-1.1844327010710836,1,True
-2.762916145819314,-1.2197256897799968,1,True
-2.805448721955694,-1.2197256897799968,1,True
-2.762916145819314,-1.255018678488907,1,True
-2.762916145819314,-1.255018678488907,1,True
-2.762916145819314,-1.2197256897799968,1,True
-2.762916145819314,-1.2197256897799968,1,True
-2.7203835696829324,-1.1844327010710836,1,True
-2.7203835696829324,-1.2197256897799968,1,True
-2.7203835696829324,-1.2197256897799968,1,True
-2.677850993546551,-1.255018678488907,1,True
-2.677850993546551,-1.2197256897799968,1,True
-2.677850993546551,-1.255018678488907,2,True
-2.7203835696829324,-1.3256046559067314,2,True
-2.762916145819314,-1.3608976446156447,2,True
-2.890513874228457,-1.4667766107423803,2,True
-3.0181116026375983,-1.5726555768691157,2,True
-3.188241907183123,-1.6785345429958514,2,True
-3.4434373640014084,-1.8197064978314992,2,True
-3.826230549228839,-2.03146443008497,2,True
-4.209023734456268,-2.20792937362953,2,True
-4.6343494958200795,-2.349101328465177,2,True
-5.05967525718389,-2.4549802945919144,2,True
-5.4850010185477,-2.560859260718649,2,True
-5.91032677991151,-2.666738226845385,2,True
-6.250587389002559,-2.77261719297212,2,True
-6.548315421957226,-2.8784961590988574,2,True
-6.7184457265027495,-2.913789147807769,2,True
-6.846043454911893,-2.913789147807769,2,True
-6.931108607184655,-2.9490821365166813,2,True
-6.973641183321036,-2.9843751252255935,3,True
-7.016173759457416,-3.0196681139345047,3,True
-7.016173759457416,-3.0196681139345047,3,True
-7.016173759457416,-2.9843751252255935,3,True
-7.016173759457416,-2.913789147807769,1,True
-7.058706335593797,-2.9490821365166813,1,True
-7.016173759457416,-2.9843751252255935,1,True
-7.016173759457416,-3.0196681139345047,1,True
-7.016173759457416,-3.090254091352328,1,True
-6.973641183321036,-3.090254091352328,1,True
-6.973641183321036,-3.125547080061241,1,True
-6.973641183321036,-3.1961330574790643,1,True
-6.973641183321036,-3.231426046187976,1,True
-6.931108607184655,-3.1961330574790643,1,True
-6.931108607184655,-3.1608400687701517,1,True
-6.931108607184655,-3.125547080061241,1,True
-6.931108607184655,-3.0196681139345047,1,True
-6.931108607184655,-2.9843751252255935,1,True
-6.931108607184655,-2.9490821365166813,1,True
-6.931108607184655,-2.913789147807769,1,True
-7.016173759457416,-2.913789147807769,1,True
-7.016173759457416,-2.8432031703899456,1,True
-7.058706335593797,-2.807910181681033,1,True
-7.058706335593797,-2.8432031703899456,1,True
-7.016173759457416,-2.8432031703899456,1,True
-7.058706335593797,-2.8432031703899456,1,True
-7.058706335593797,-2.8432031703899456,1,True
-7.058706335593797,-2.8432031703899456,2,True
-7.10123891173018,-2.8432031703899456,2,True
-7.228836640139322,-2.9490821365166813,2,True
-7.271369216275703,-3.0549611026434174,2,True
-7.398966944684847,-3.1608400687701517,2,True
-7.441499520821229,-3.3020120236058,2,True
-7.569097249230371,-3.443183978441448,2,True
-7.696694977639514,-3.6196489219860077,2,True
-7.781760129912276,-3.7961138655305673,2,True
-7.824292706048657,-3.9019928316573034,2,True
-7.824292706048657,-4.0078717977840395,3,True
-7.824292706048657,-4.078457775201863,3,True
-7.824292706048657,-4.113750763910775,3,True
-7.824292706048657,-4.078457775201863,3,True
-7.781760129912276,-4.078457775201863,3,True
-7.739227553775896,-4.078457775201863,1,True
-7.696694977639514,-4.0078717977840395,1,True
-7.739227553775896,-3.9725788090751273,1,True
-7.824292706048657,-4.043164786492951,1,True
-7.781760129912276,-4.043164786492951,1,True
-7.781760129912276,-3.9725788090751273,1,True
-7.781760129912276,-3.9725788090751273,1,True
-7.781760129912276,-3.9725788090751273,1,True
-7.781760129912276,-4.0078717977840395,1,True
-7.824292706048657,-4.043164786492951,1,True
