x,y,evt,status
-1.9973297753644534,-1.6785345429958514,0,True
-1.9973297753644534,-1.6785345429958514,1,True
-1.9973297753644534,-1.6785345429958514,1,True
-1.9973297753644534,-1.6785345429958514,1,True
-1.9547971992280753,-1.6432415542869392,1,True
-1.9547971992280753,-1.6432415542869392,1,True
-1.9547971992280753,-1.607948565578027,1,True
-1.9547971992280753,-1.607948565578027,1,True
-1.9547971992280753,-1.6785345429958514,1,True
-1.9547971992280753,-1.7138275317047624,1,True
-1.9547971992280753,-1.7138275317047624,1,True
-1.9547971992280753,-1.7138275317047624,1,True
-1.9547971992280753,-1.7138275317047624,1,True
-1.9547971992280753,-1.7138275317047624,1,True
-1.9547971992280753,-1.6785345429958514,1,True
-1.9122646230916904,-1.6785345429958514,1,True
-1.9547971992280753,-1.6432415542869392,1,True
-1.9547971992280753,-1.5726555768691157,1,True
-1.9547971992280753,-1.5373625881602047,1,True
-1.9547971992280753,-1.5373625881602047,1,True
-1.9973297753644534,-1.5726555768691157,1,True
-1.9547971992280753,-1.5726555768691157,1,True
-1.9547971992280753,-1.607948565578027,1,True
-1.9973297753644534,-1.6432415542869392,1,True
-1.9973297753644534,-1.6785345429958514,1,True
-2.039862351500835,-1.7138275317047624,1,True
-2.039862351500835,-1.7491205204136768,1,True
-2.0823949276372162,-1.7138275317047624,1,True
-2.0823949276372162,-1.7138275317047624,1,True
-2.1249275037735966,-1.7138275317047624,1,True
-2.1249275037735966,-1.7491205204136768,1,True
-2.1249275037735966,-1.7138275317047624,1,True
-2.1249275037735966,-1.6785345429958514,1,True
-2.0823949276372162,-1.6785345429958514,1,True
-2.0823949276372162,-1.6785345429958514,1,True
-2.0823949276372162,-1.7138275317047624,1,True
-2.039862351500835,-1.6785345429958514,1,True
-2.0823949276372162,-1.6785345429958514,1,True
-2.0823949276372162,-1.6785345429958514,1,True
-2.0823949276372162,-1.6432415542869392,1,True
-2.0823949276372162,-1.6785345429958514,1,True
-2.0823949276372162,-1.6432415542869392,1,True
-2.0823949276372162,-1.607948565578027,1,True
-2.0823949276372162,-1.607948565578027,1,True
-2.0823949276372162,-1.607948565578027,1,True
-2.0823949276372162,-1.5726555768691157,1,True
-2.0823949276372162,-1.5726555768691157,1,True
-2.0823949276372162,-1.5726555768691157,1,True
-2.0823949276372162,-1.607948565578027,1,True
-2.1249275037735966,-1.6785345429958514,1,True
-2.1249275037735966,-1.6432415542869392,1,True
-2.0823949276372162,-1.6432415542869392,1,True
-2.1249275037735966,-1.6432415542869392,1,True
-2.1249275037735966,-1.6785345429958514,1,True
-2.1249275037735966,-1.6432415542869392,1,True
-2.1249275037735966,-1.6432415542869392,1,True
-2.1249275037735966,-1.6432415542869392,1,True
-2.1249275037735966,-1.6432415542869392,1,True
-2.167460079909978,-1.6432415542869392,1,True
-2.2950578083191213,-1.6785345429958514,1,True
-2.465188112864646,-1.7138275317047624,1,True
-2.762916145819314,-1.6432415542869392,1,True
-3.188241907183123,-1.5726555768691157,1,True
-3.6986328208196957,-1.5373625881602047,1,True
-4.25155631059265,-1.4314836220334681,1,True
-4.932077528774745,-1.3256046559067314,1,True
-5.5700661708204615,-1.2903116671978203,1,True
-6.122989660593416,-1.1844327010710836,1,True
-6.590847998093606,-1.0785537349443493,1,True
-6.931108607184655,-1.0432607462354369,1,True
-7.14377148786656,-1.0079677575265247,1,True
-7.271369216275703,-0.9726747688176136,1,True
-7.313901792412086,-1.0079677575265247,1,True
-7.313901792412086,-1.0079677575265247,1,True
-7.271369216275703,-1.0079677575265247,1,True
-7.356434368548466,-0.9726747688176136,1,True
-7.313901792412086,-1.0432607462354369,1,True
-7.356434368548466,-1.1138467236532603,1,True
-7.356434368548466,-1.1844327010710836,1,True
-7.313901792412086,-1.2197256897799968,1,True
-7.313901792412086,-1.2197256897799968,1,True
