,N29141A
N06691U,0.02604991576155873
N06731X,0.039730212811042005
N06731Y,0.026617684709637685
N26151X,0.022308984246190315
N29121G,0.08775942598737825
N29131B,0.06284724787546077
N29131C,0.0278161513304652
N29141A,0.0
N29142H,0.04685280585535272
N29131F,0.008485566321635135
