,N26151X
N06691U,0.03803001863383007
N06731X,0.0
N06731Y,0.043010517523060274
N26151X,0.0
N29121G,0.07204138072038094
N29131B,0.0585870630197391
N29131C,0.04739174043818624
N29141A,0.0460452858493516
N29142H,0.05874510573224361
N29131F,0.02140140984834764
