,N29131C
N06691U,0.061254430155089225
N06731X,0.0205571076749501
N06731Y,0.07185858887788536
N26151X,0.032137351501227956
N29121G,0.03804167210366002
N29131B,0.045150221658236525
N29131C,0.0
N29141A,0.03426445070048396
N29142H,0.05106849602316481
N29131F,0.01648319955290194
