,N06351L,N06411H,N06421A,N06421D,N06421E,N06421F,N06421G,N06431Y,N31111S,N31111U,N31111W
0,0.027219929755367606,0.022461560710106264,0.18117179238598696,0.0,0.026757547499312695,0.02943506132596609,0.0222580801424461,0.039278253665227164,0.014734876754320718,0.07693638071013005,0.011042694311352394
1,0.021988221926719,0.01932206871260553,0.13127177228559966,0.0,0.019256339667476766,0.021181511844995466,0.017981492887584993,0.03360682374734457,0.013520096867618318,0.06614562284655225,0.008916620817518551
2,0.018747177149205724,0.016459564538491806,0.09351264775018829,0.0,0.01597688105675168,0.0172778928357794,0.013359364246478024,0.03180472338917246,0.011384208271874944,0.05581214944290398,0.007248288031426511
3,0.018298487695837088,0.016034594597128454,0.08422622298182404,0.0,0.014320507367499038,0.016850964920049595,0.012293053888313631,0.0335595352428434,0.012129728078950585,0.044255842242818574,0.007075401906332099
4,0.01818765774965998,0.01708512007907886,0.08112284506040418,0.0,0.015901656356563633,0.017288414297076338,0.012496077892245184,0.03938675343220191,0.011983836309954516,0.042188129850253955,0.007181475273938168
5,0.019220272405648216,0.01883294560675444,0.07637231847750435,0.0,0.016588687772361447,0.021427469624509414,0.01340513762865442,0.041459188054756006,0.014218847674509646,0.04058949058108577,0.008633438716982236
6,0.021767013798729296,0.021176664926701297,0.07233250707939767,0.0,0.016427151953935494,0.022953956983701757,0.013899557531336194,0.0463809100397593,0.014483510430070531,0.0398559776845931,0.008446032583647404
7,0.025329011619947297,0.025796413031545,0.07210644013958915,0.0,0.018327973551469628,0.025109804369150387,0.014226726379992453,0.04955442347853842,0.015480803772959855,0.036634723453732164,0.00860832105405591
8,0.026277915708935472,0.025490187510865903,0.07210045951646654,0.0,0.019041124648926103,0.02344479632450636,0.015534877657771421,0.04957887479420055,0.015321545562140318,0.035344785871969785,0.008682269666382173
9,0.026583702213918935,0.02401696373270979,0.07217819474871356,0.0,0.02007698851160402,0.022492357987350237,0.016081331493825294,0.05097410683593953,0.015460776255141546,0.03529130099203887,0.009570419691462094
10,0.02630490397340571,0.02352952289111019,0.07159205369827136,0.0,0.0196126518188655,0.02277009318120783,0.01688375840351336,0.04784269297609854,0.015997127990354403,0.033474317428962806,0.01055826197502962
11,0.024540005912922276,0.02265183390948763,0.07130458335794304,0.0,0.02089549245086182,0.022233436856645805,0.018120043893028584,0.04974128303429926,0.018555529210429925,0.03374899495869907,0.010401658898667737
