,N06351L,N06411H,N06421A,N06421D,N06421E,N06421F,N06421G,N06431Y,N31111S,N31111U,N31111W
0,0.0,0.008637506629186949,0.0,0.016804395837874762,0.00922278326721599,0.0054514077951861315,0.016866043193123605,0.011080138461160334,0.0,0.04543236117858177,0.0020401439100664514
1,0.008576769830021447,0.006034016282921728,0.0,0.010840138837374218,0.006052489970005089,0.0,0.0145508310350449,0.0,0.008648920821668621,0.043074900583884426,0.0017178365055335644
2,0.0,0.0038071172671514083,0.0,0.004405448093555154,0.004488489825976369,0.0,0.009688447423182391,0.0,0.0,0.03359768562182367,0.0011506734099428707
3,0.0,0.006710277806831946,0.0,0.00354822524890141,0.0034530617151976224,0.0,0.00938380114490901,0.0,0.0,0.0278382267680119,0.0021129287018454403
4,0.0,0.005856276595080052,0.0,0.0036476217520460524,0.0,0.0,0.008823349804472809,0.0,0.0,0.025681383401338225,0.0017809520287300374
5,0.0,0.006087682532497826,0.0,0.004507646610173313,0.0,0.0,0.00823625106754151,0.0,0.0,0.02634148893175534,0.0028913611774857646
6,0.0,0.0062474519541228,0.0,0.004244903925228436,0.0,0.0,0.008246581885757246,0.0,0.0,0.026016563055366575,0.0028898912368446514
7,0.0,0.006600031158535411,0.0,0.004251596305834935,0.0,0.0,0.008754590806958763,0.0,0.0,0.022100313039439757,0.003287095725195659
8,0.0,0.009011792058598334,0.0,0.004598494094958648,0.0,0.0,0.008626640959456516,0.0,0.0,0.019939404425554193,0.003308105560594458
9,0.0,0.008919577943380982,0.0,0.004562225404347481,0.0,0.0,0.009617837563649772,0.0,0.0,0.01974879712613337,0.0041508958504766595
10,0.0,0.008261802420924046,0.0,0.005107682143083671,0.0,0.0,0.010393329696157973,0.0,0.0,0.018453824225988288,0.004288879120437944
11,0.0,0.008590244027700344,0.0,0.006151297125690765,0.0,0.0,0.011655646107500209,0.0,0.0,0.017747991041947166,0.0048043097687914165
