,N06351L,N06411H,N06421A,N06421D,N06421E,N06421F,N06421G,N06431Y,N31111S,N31111U,N31111W
0,0.0,0.0,0.036236803542798776,0.000539045682647275,0.024788323594457255,0.0,0.022643327274094516,0.0,0.0,0.0,0.011496371155152915
1,0.0,0.005374596038755522,0.030683417179527567,0.00025459475381589856,0.01830017216392421,0.0,0.018770641047071365,0.0,0.0,0.0,0.012559233967717333
2,0.0,0.004511617919942885,0.020622674232983758,0.00014827360609981049,0.014123473427865525,0.0,0.011756263904481281,0.0,0.0,0.0,0.009491814233306637
3,0.0,0.0036130116263846626,0.020490914522565063,0.001081907710810379,0.010821166075967918,0.0,0.010388328634089205,0.0,0.0,0.0,0.012463531080664475
4,0.0,0.0033084793771858134,0.01861107196300881,0.0018323242987917788,0.008852151850911838,0.0,0.012714932374148993,0.0,0.0,0.0,0.010616684726733522
5,0.0,0.004162775020257624,0.016638962749862523,0.002381241127576165,0.008804988163253718,0.0,0.01140689302263026,0.0,0.0,0.0,0.010489728369105186
6,0.0,0.007689429253818941,0.015424059803897409,0.004622765350104814,0.0083073529663424,0.0,0.012671175903607055,0.0,0.0,0.0,0.012015561664318398
7,0.0,0.007839799615554118,0.014679041308725127,0.004939145817961383,0.009183755291254104,0.0,0.01560298220243164,0.0,0.0,0.0,0.0137355266482491
8,0.0,0.008131453500610935,0.014358653958183943,0.005059313232443227,0.011124862526804481,0.0,0.01585445853844066,0.0,0.0,0.0,0.01543953298019352
9,0.0,0.008187237450141412,0.014432066457825738,0.004622134070121033,0.015136283365206477,0.0,0.016586370310185648,0.0,0.0,0.0,0.017841378809796145
10,0.0,0.008074373569138059,0.013865384878845265,0.004652241172070441,0.016428305200354505,0.0,0.015427851028460754,0.0,0.0,0.0,0.018195068544100763
11,0.0,0.008186194477498883,0.014145979457804256,0.003907523167424873,0.016759214646739674,0.0,0.01799516322797529,0.0,0.0,0.0,0.02048911556881996
