,N06351L,N06411H,N06421A,N06421D,N06421E,N06421F,N06421G,N06431Y,N31111S,N31111U,N31111W
0,0.038257344527522254,0.031446366010649145,0.0,0.008681307251004217,0.0,0.0023500078226807103,0.05250986719505901,0.010449077758219844,0.12800173011730318,0.0,0.0747724426174506
1,0.029370244704410697,0.023017861886146903,0.0,0.004619934075807262,0.0,0.0013417926704540287,0.04387496066212839,0.007443617273058753,0.10206644678261842,0.0,0.0707256392847797
2,0.02155226310576531,0.015178468635253142,0.014018853811481696,0.002022672854051623,0.0,0.0008093705085605183,0.028898222551302994,0.008554740009537418,0.07980723709855586,0.062130440686959935,0.0
3,0.01806444672374392,0.011780126180885997,0.012052557195355026,0.003631090270405742,0.0,0.0010783557996219021,0.02469675901321644,0.008328565275236673,0.062329750309978824,0.0,0.0
4,0.014690777051529155,0.009217846963297504,0.0,0.004051745062204911,0.0,0.0010782028741866106,0.021395752805501708,0.010482847477639457,0.05372689888707846,0.0,0.0
5,0.013642774711823088,0.00895687063324601,0.010684652358264251,0.0,0.0,0.0012319163781343717,0.01903985190419132,0.010986136221740581,0.04710643275515889,0.0,0.0
6,0.01374850765862085,0.009140276554957659,0.010268611930578002,0.0,0.0,0.0012154425975252005,0.017148306280166628,0.011057527573541462,0.04376887783899347,0.0,0.0
7,0.015327150637672688,0.009452908283316065,0.013125649695722792,0.0,0.0,0.002104345877936086,0.017495174408816323,0.011234956353875305,0.04191007187981027,0.0,0.0
8,0.015936912785813228,0.016153130122933557,0.01412533251961719,0.0,0.0,0.004700957975024154,0.01655372307067269,0.011731295462361352,0.04169581501362166,0.0,0.0
9,0.01754399850980856,0.01661010342044987,0.014129647870424967,0.0,0.0,0.005535063758336752,0.017026534456128457,0.01460768713102444,0.043503356795387464,0.0,0.0
10,0.01797512966029237,0.016960969929403245,0.013785288271547545,0.0,0.0,0.0055924613402916655,0.01821728242556021,0.014410382183777208,0.043741462090184334,0.0,0.0
11,0.01954819912816966,0.017951198340148546,0.014031051795139868,0.0,0.0,0.005907754768549568,0.0214072499477077,0.014390371788901452,0.044546604973329296,0.0,0.0
