,N06351L,N06411H,N06421A,N06421D,N06421E,N06421F,N06421G,N06431Y,N31111S,N31111U,N31111W
0,0.0,0.011961569021780027,0.0,0.018642912988831594,0.06678340277529161,0.03976050476971197,0.1029121166258176,0.04136963281919529,0.10567089737228424,0.0,0.049001477848438106
1,0.0,0.007968705454709398,0.0,0.013274407954805672,0.05157688753307537,0.028957374478538033,0.09484634935221908,0.03424194452130789,0.07123815564778331,0.11733481938277823,0.04030917837177992
2,0.0,0.0031574730961447355,0.0,0.0071982391539016696,0.04371259147560695,0.01913347281829626,0.0616422198900724,0.023328671174740963,0.04626930570007403,0.10083263676461145,0.029791824075905204
3,0.0,0.00284484316967957,0.0,0.005198899085765602,0.034222301283200494,0.015360004932343685,0.058241537955845656,0.021660428970820426,0.03595900053776261,0.08007867833621538,0.02705224866782224
4,0.0,0.000922533472463748,0.0,0.005656505432586326,0.030661832907458778,0.014720767138430534,0.050039419705248556,0.02204574351924454,0.0291820765413498,0.07214802724768321,0.02616230086699841
5,0.0,0.00017788646212601347,0.0,0.008014608822583116,0.027613722363522473,0.014121197046459508,0.04692128358961719,0.022968994444680493,0.026285476002519858,0.06975898013261497,0.02640924571619146
6,0.0,0.003186866313896353,0.0,0.015852675999510735,0.02732969324428871,0.014468639509522528,0.04678266221383061,0.02304618103852921,0.024166082861696383,0.06607671626802833,0.030181945684734767
7,0.0,0.0055687306544693,0.0,0.0160704072944394,0.0294430639818472,0.01541568312250829,0.04914428885898916,0.028312175336979717,0.02366010515049109,0.05701725414787105,0.029994693144633624
8,0.0,0.005279867580452593,0.0,0.016635539687178378,0.03445176837688617,0.017121150936259388,0.05063922469400409,0.029970435476899385,0.025997974424107746,0.05298752662959821,0.03334837365590256
9,0.0,0.005145244245209679,0.0,0.016285875681828387,0.03425721550344467,0.01767753786005566,0.05077996048938958,0.030751112161620967,0.02655254715080086,0.053205129441467075,0.03522411049228986
10,0.0,0.005931346742923113,0.0,0.020780941749396337,0.03503933725215016,0.018583927102808352,0.05208838524877345,0.03203625407388479,0.029315932613144385,0.051004311607476656,0.0382297755178953
11,0.0,0.006194751384118514,0.0,0.02222354205219415,0.03573332366078287,0.019583824587993792,0.05307735066182104,0.03258511884203058,0.029971412219501177,0.04867902639248872,0.03808631563654614
