,N06351L,N06411H,N06421A,N06421D,N06421E,N06421F,N06421G,N06431Y,N31111S,N31111U,N31111W
0,0.07634167083499743,0.07199061339541338,0.14963402926134176,0.05292061458363501,0.055715751737367446,0.05370152253388778,0.0581269900871373,0.0,0.06172723230841807,0.0,0.030457546195770537
1,0.05433794199364201,0.0497163082297781,0.09794277902180153,0.03390724545846204,0.03746603751734845,0.03932877575824322,0.040659821713801066,0.0,0.03985360657622061,0.0,0.02371652528421208
2,0.039835160857607355,0.03344900077038332,0.06544504247933929,0.02073906737721677,0.027111246951597546,0.02877243531357476,0.027614050937474502,0.0,0.024553266229213076,0.0,0.02397119565323114
3,0.035125665459145465,0.028616336718080386,0.0,0.025652508167294495,0.022285382337938867,0.024158884968424495,0.02236385297167129,0.0,0.017741419225848848,0.0,0.022301316935919233
4,0.0317662987588978,0.02653705293670285,0.0,0.026444404543254803,0.02060033217233625,0.023608547719379747,0.019392380341022027,0.0,0.018151995111210874,0.0,0.021413595041215927
5,0.03040958190051103,0.026105376568409045,0.0,0.03046863124411751,0.020193063557512173,0.02348328548440873,0.018096931658255606,0.0,0.015857121863372788,0.0,0.023808750718447638
6,0.03167695721266575,0.027257822610142042,0.0,0.030865840017973312,0.024464215311361722,0.02373581986965392,0.018024029183843215,0.0,0.014860728633880011,0.0,0.026749529785230448
7,0.033088691793383786,0.028057724391779795,0.0,0.0345390038079131,0.02490172584700884,0.024016431938000064,0.018151182843776793,0.0,0.016597244320769606,0.0,0.027932748986371624
8,0.033590725650740526,0.029789414218280345,0.0,0.0384414968903365,0.026991812664150294,0.028913963049237965,0.019643472262537688,0.0,0.017623736455930815,0.0,0.028648043966194504
9,0.03379675813428424,0.02902110371302317,0.0,0.038499193616125235,0.02768544225084197,0.02863276791786153,0.023792875852989868,0.0,0.017854847594602617,0.0,0.028984412225262404
10,0.03355844594248251,0.027580114199853754,0.0,0.04178100545525658,0.02830297744776068,0.028952968871959577,0.03245870351578104,0.0,0.01775282931700272,0.0,0.029391907604899344
11,0.032342492628002144,0.0268693512304007,0.0,0.042056848003637744,0.029253484527229718,0.028485767992539563,0.03353824403168917,0.0,0.017895622124562804,0.0,0.029304504640767226
