,N06421D
N06351L,0.02222354205219415
N06411H,0.03158831638228162
N06421A,0.006151297125690765
N06421D,0.0
N06421E,0.0
N06421F,0.05964743549463658
N06421G,0.018211653938095825
N06431Y,0.042056848003637744
N31111S,0.0
N31111U,0.003907523167424873
N31111W,0.017077160183994095
