,N06411H
N06351L,0.006194751384118514
N06411H,0.0
N06421A,0.008590244027700344
N06421D,0.02265183390948763
N06421E,0.017951198340148546
N06421F,0.0355952204833931
N06421G,0.024062624816900264
N06431Y,0.0268693512304007
N31111S,0.018762887714775852
N31111U,0.008186194477498883
N31111W,0.02493051021243331
