,N06351L,N06411H,N06421A,N06421D,N06421E,N06421F,N06421G,N06431Y,N31111S,N31111U,N31111W
0,0.0,0.0027425154649041044,0.0,0.010423238646543353,0.003910765722545488,0.002358611497498383,0.020127735740588393,0.0019461170581160842,0.0,0.003423220825078523,0.01370219388831033
1,0.003517658551066098,0.005198244816358447,0.0,0.011854189990019193,0.005069313845203958,0.0,0.01988656553041192,0.0,0.0031370586943638757,0.0054553810719703,0.01517242660455716
2,0.0,0.009094046284661438,0.0,0.014686851459451759,0.005127958035240237,0.0,0.016889799881581583,0.0,0.0,0.012632010950034753,0.01508189085596818
3,0.0,0.00908818485624545,0.0,0.012485654480015462,0.004419253392613074,0.0,0.017598700475846028,0.0,0.0,0.01306323913903406,0.018583794978791937
4,0.0,0.008540886889250587,0.0,0.01682682513198847,0.0,0.0,0.01692351228463745,0.0,0.0,0.012838885931391122,0.019352275378116457
5,0.0,0.008193608945600636,0.0,0.015031565596884455,0.0,0.0,0.021888234846788857,0.0,0.0,0.014831211192979565,0.022183360115478903
6,0.0,0.00827298791617458,0.0,0.01591247134293606,0.0,0.0,0.020204265695540912,0.0,0.0,0.015030023884914923,0.022533979282268805
7,0.0,0.008158167801019314,0.0,0.015406655087058567,0.0,0.0,0.019710641400453754,0.0,0.0,0.017253735785348497,0.02263628390806733
8,0.0,0.008372485816618723,0.0,0.015073120643415476,0.0,0.0,0.02022579016554696,0.0,0.0,0.019067511395015807,0.023687122738815666
9,0.0,0.007823568417081313,0.0,0.013445018459208303,0.0,0.0,0.019851134483950164,0.0,0.0,0.018813577691512918,0.024461132594990036
10,0.0,0.007668273863556284,0.0,0.01329536800355906,0.0,0.0,0.02023857721805965,0.0,0.0,0.017937429918312205,0.02533278341363263
11,0.0,0.007303852427392769,0.0,0.012993969713251183,0.0,0.0,0.022634715312547456,0.0,0.0,0.01742494996607388,0.025695208493209235
