,N06351L,N06411H,N06421A,N06421D,N06421E,N06421F,N06421G,N06431Y,N31111S,N31111U,N31111W
0,0.039199895155999205,0.0,0.0,0.026281307513089432,0.039510097188271795,0.008738756808984293,0.014676321858510942,0.016831583674053577,0.008860143418625895,0.0,0.038849408437489574
1,0.03760125779968291,0.0,0.0031358235918141804,0.032095165962460995,0.0324339906154304,0.00924146357793982,0.024904601761200993,0.011509786394546917,0.011153074491528749,0.0,0.02812707080998185
2,0.04023042302009,0.0,0.0,0.02445741720130671,0.03054105968819941,0.019256153573155695,0.014505780835471046,0.024793100879599402,0.008291416205127036,0.005043378689826825,0.02139701875153671
3,0.03998501497319703,0.0,0.0,0.03376258468062658,0.02722065218346569,0.017761568290655318,0.01622290942689533,0.02211147429470324,0.009158467644116066,0.005212951570081596,0.019874480759513247
4,0.03698523873638204,0.0,0.0,0.0298834329435844,0.0260235711565371,0.017379285151692857,0.016384938962566785,0.022988732806288832,0.01028998249985738,0.00551232783474967,0.01901206479282126
5,0.04142643154222839,0.0,0.0,0.03447165205026615,0.030803786578993377,0.018415852561525677,0.020719424875420982,0.02519175861178688,0.00962524146582483,0.005474206091799185,0.019660680167695493
6,0.0407382598427427,0.0,0.0,0.037021651854338096,0.029184244175880433,0.021792109289799664,0.015506018593479689,0.026250163526406398,0.013478018885111838,0.005780654917613396,0.01926919486128127
7,0.040468954806225144,0.0,0.0,0.036545104913832845,0.028860273119372407,0.02278251494402535,0.01697355619242725,0.03037090460523487,0.012156307749132662,0.009486244552472834,0.01876094878497118
8,0.040715405567348345,0.0,0.0,0.036191418295992435,0.029030818034778267,0.023984452068701555,0.025220130036949683,0.03125472529899056,0.012550902400580287,0.011471793789856008,0.022403455700439338
9,0.04460240948555897,0.0,0.0,0.03355842894613536,0.03317856160548607,0.021307991530034785,0.025526462645515186,0.03091218344836096,0.01529275464718521,0.013512535624828556,0.024347824595274892
10,0.046281053996848155,0.0,0.0,0.03156075136592671,0.033008304551381575,0.021610593892951124,0.03187220435066985,0.03631129306239999,0.02265635066845849,0.013798083377684624,0.03085367953707692
11,0.048528136883674584,0.0,0.0,0.03038195401236345,0.03225411566352372,0.0234718458062998,0.035197215504105206,0.03818835030602322,0.022383855050977227,0.013635379282246222,0.02996387782394337
