,N06351L,N06411H,N06421A,N06421D,N06421E,N06421F,N06421G,N06431Y,N31111S,N31111U,N31111W
0,0.0,0.019989036449116104,0.0,0.039789645765865744,0.01794544220351785,0.02079658199419532,0.046399277811450625,0.024927158819317376,0.02397157859197386,0.0,0.019790006984176507
1,0.0,0.029994643845074657,0.0,0.036634516273159494,0.024149764027339725,0.02627148257580874,0.047576880979924366,0.024819498776435214,0.02194770442038061,0.0031976562259100386,0.02449650257769722
2,0.0,0.022983175822056348,0.0,0.049632690422629584,0.026767389759688762,0.016931390557540265,0.03310802229701026,0.019367312000661153,0.01800068071938691,0.0034176504586469303,0.02414728074661745
3,0.0,0.026705645497199084,0.0,0.04221842631280062,0.0239370134691362,0.03247861023414795,0.023486332391021634,0.0348128073190897,0.02399017546942244,0.0034505265733397994,0.025222943028675962
4,0.0,0.02725048646149911,0.0,0.041486614551290185,0.023155829366098446,0.027819059336114452,0.02298327777494294,0.032696778371959674,0.023166030719607104,0.003294182884444963,0.022878015926345415
5,0.0,0.02434834274554725,0.0,0.03610691778959223,0.0199920826471487,0.028730669224614255,0.024248625991645525,0.030081603444452067,0.02002479150584811,0.00499953185973083,0.018126793272478233
6,0.0,0.026469606148044528,0.0,0.043872388094146814,0.01880103035229515,0.028032280565589127,0.01881364566396709,0.029640019752744114,0.02735590720360432,0.005058335988604028,0.01755897098837256
7,0.0,0.026737744570959277,0.0,0.043995241158778925,0.017100339662316652,0.0285689493279142,0.019266309237474074,0.029054519415590792,0.028862625025691837,0.00627989220193431,0.017636400328112447
8,0.0,0.02693321836410196,0.0,0.044534493598184816,0.015703940993881036,0.03554688232343875,0.018921828583380287,0.03212154762266466,0.028839294713078143,0.007479563657802099,0.019895982296374588
9,0.0,0.025787931618654544,0.0,0.04008474273172633,0.014558259890194951,0.037047182408779446,0.017256203006705148,0.03782728514312404,0.029287560587349735,0.007567658298334254,0.026346266102577426
10,0.0,0.028573147643162197,0.0,0.041277969214543866,0.015394388476261721,0.039125295408672295,0.018712243212103498,0.041230080751424696,0.028917749246164994,0.007532934782424065,0.02780519874414387
11,0.0,0.040161173333141134,0.0,0.04059904192925705,0.014124591303787383,0.040929296654896884,0.01851912653800462,0.04307710583419648,0.02795015915666797,0.007376172961172575,0.028460172496039597
