,N06351L,N06411H,N06421A,N06421D,N06421E,N06421F,N06421G,N06431Y,N31111S,N31111U,N31111W
0,0.0,0.0,0.006042584343814143,0.008591616215504446,0.004116158557140732,0.0,0.009058544348355615,0.0,0.0,0.0,0.005129637018122207
1,0.0,0.003107331860320802,0.006100594314914081,0.011708464591923345,0.0061425281200626495,0.0,0.00928029280277305,0.0,0.0,0.0,0.004249825978091906
2,0.0,0.0038881257209467707,0.006099432900093757,0.011224949444295106,0.007248289850596743,0.0,0.00830909659435289,0.0,0.0,0.0,0.0047009455018505
3,0.0,0.00414013847498626,0.00806352712577119,0.011027653144138257,0.0061648414537165686,0.0,0.007595954291212586,0.0,0.0,0.0,0.005306637006162601
4,0.0,0.0038038203584703986,0.006976316354616851,0.009900967526636217,0.0075675679936157,0.0,0.010501488586626695,0.0,0.0,0.0,0.0058826789707401945
5,0.0,0.004559789248175268,0.007792219707177181,0.008631074401484806,0.007102735400378252,0.0,0.013455263821315308,0.0,0.0,0.0,0.010878244073372859
6,0.0,0.005086504513786397,0.006722050635209965,0.01628769051517714,0.009363799502826835,0.0,0.012701414183439388,0.0,0.0,0.0,0.011535317759495352
7,0.0,0.005174081763434774,0.007567427812496016,0.017627442337742025,0.009186930453278204,0.0,0.012201150724094447,0.0,0.0,0.0,0.013333763379043804
8,0.0,0.005710298475206655,0.007032453151952448,0.01771072072081122,0.009701053042540646,0.0,0.012436056854341314,0.0,0.0,0.0,0.01510931636481374
9,0.0,0.006401595372418932,0.008455156024688854,0.017112789890635766,0.011076287653753512,0.0,0.014919930192863244,0.0,0.0,0.0,0.014938190881763956
10,0.0,0.006858060441284927,0.008835028846161655,0.01766250139799005,0.011217941125278512,0.0,0.015367771810567298,0.0,0.0,0.0,0.017130841318216627
11,0.0,0.006979104073496141,0.008536729155823779,0.018132942423734033,0.011931870939749574,0.0,0.015875493687749234,0.0,0.0,0.0,0.01723090248072421
