,N06421D
N06351L,0.039789645765865744
N06411H,0.026281307513089432
N06421A,0.010423238646543353
N06421D,0.0
N06421E,0.011317567683158669
N06421F,0.03740308231780098
N06421G,0.045302448257641445
N06431Y,0.03915919170701884
N31111S,0.0
N31111U,0.008591616215504446
N31111W,0.040239412051446544
