,N31111W
N06351L,0.019790006984176507
N06411H,0.038849408437489574
N06421A,0.01370219388831033
N06421D,0.05645267175373562
N06421E,0.0020492335490936288
N06421F,0.027436807102232043
N06421G,0.055367822155564725
N06431Y,0.027701623946092803
N31111S,0.0032768459024328845
N31111U,0.005129637018122207
N31111W,0.0
