,cd
M_0852_0191,0.027504924555476474
M_0191_0852,0.014933020845158868
M_0191_0038,0.01486934300924575
M_0038_0191,0.0269538817217
M_0037_0779_0039_U,0.0
M_0037_0038,0.048487936433263754
M_0821_0190,0.015017530936128754
M_0038_0037,0.040923977104579234
M_0821_0159,0.040559469918868135
M_0308_0011,0.0161229516601625
M_0011_0308,0.015491101080550884
M_0015_0159,0.020551633574901848
M_0039_0038,0.013428672253876625
M_0323_0032,0.009553358162523812
M_0032_0323,0.0292592830037951
M_0108_0478_0479,0.014354089132557977
