,N06421D
N06351L,0.0160704072944394
N06411H,0.026777666051242443
N06421A,0.004251596305834935
N06421D,0.0
N06421E,0.0
N06421F,0.04351077608304903
N06421G,0.011363442366365162
N06431Y,0.0345390038079131
N31111S,0.0
N31111U,0.004939145817961383
N31111W,0.009872502483233217
