,N06421E
N06351L,0.0294430639818472
N06411H,0.03359709501341369
N06421A,0.0
N06421D,0.018327973551469628
N06421E,0.0
N06421F,0.016798904563805873
N06421G,0.03335336680742869
N06431Y,0.02490172584700884
N31111S,0.037879743834886404
N31111U,0.009183755291254104
N31111W,0.027386415851240624
