NODE_ID|NODE_NM|NODE_ENM|NODE_SNM|POSX|POSY|NODE_KIND|NODE_TYPE|SEQ|ADM_DSTRT_CD|USE_YN|ETL_TYPE|ETL_DATE
AP2503003048|갈마공원| ||233513.34114881|317370.42783501|3701|3607|1074|30170111  |T|0602|2019-12-31 02:47:02
AP2503003046|공설묘지| ||231174.32735909|308755.82424088|3701|3607|1069|30170127  |T|0602|2019-12-31 02:47:02
AP2503003044|가수원네거리| ||231682.68304578|311539.43884597|3701|3607|1061|30170114  |T|0602|2019-12-31 02:47:02
AP2501003125|만인산공원| ||239791.46875000|300441.75000000|3701|3607|1737|30110145  |T|0602|2019-12-31 02:47:02
AP2501003123|동아공고| ||240496.28470496|316025.96400572|3701|3607|1704|30110111  |T|0602|2019-12-31 02:47:02
AP2501003121|명석고등학교| ||240684.10956813|317051.58012893|3701|3607|1686|30230110  |T|0602|2019-12-31 02:47:02
AP2501003119|마산/진등날| ||242988.01440558|320426.45665647|3701|3607|1671|30110125  |T|0602|2019-12-31 02:47:02
AP2501003117|샤또호텔 앞| ||239375.36719994|317056.82392321|3701|3607|1652|30110115  |T|0602|2019-12-31 02:47:02
AP2501003115|동방마트| ||238527.09288370|314477.88853935|3701|3607|1645|30110120  |T|0602|2019-12-31 02:47:02
AP2501003113|북부교| ||238012.81747239|315345.39119722|3701|3607|1636|30110118  |T|0602|2019-12-31 02:47:02
AP2501003111|동방마트| ||238559.16703804|314492.95451267|3701|3607|1628|30110120  |T|0602|2019-12-31 02:47:02
AP2501003109|동방마트| ||238607.71228876|314515.75734153|3701|3607|1594|30110120  |T|0602|2019-12-31 02:47:02
AP2501003107|동구청| ||238850.57062765|314026.60100257|3701|3607|1585|30110101  |T|0602|2019-12-31 02:47:02
AP2501003105|삼성네거리| ||238553.97910171|315226.16688543|3701|3607|1573|30110118  |T|0602|2019-12-31 02:47:02
AP2501003103|동신고교종점| ||242623.14887942|314612.57024092|3701|3607|1556|30110108  |T|0602|2019-12-31 02:47:02
AP2501003101|삼성네거리| ||238573.72094804|315170.01216225|3701|3607|1523|30110118  |T|0602|2019-12-31 02:47:02
AP2501003099|만인산휴양림| ||240349.43726649|300100.56928923|3701|3607|1502|30110145  |T|0602|2019-12-31 02:47:02
AP2501003097|보건소4가| ||237579.67562074|315766.12103713|3701|3607|1489|30110118  |T|0602|2019-12-31 02:47:02
