,cd
M_0852_0191,0.02077536385711461
M_0191_0852,0.057182138805764914
M_0191_0038,0.02079285686603405
M_0038_0191,0.030278923955158136
M_0037_0779_0039_U,0.0
M_0037_0038,0.008059881277803004
M_0821_0190,0.052928607888094246
M_0038_0037,0.017362453227558836
M_0821_0159,0.013841675387014248
M_0308_0011,0.010891786925040156
M_0011_0308,0.033815914213674664
M_0015_0159,0.03048944112102198
M_0039_0038,0.05606319830853015
M_0323_0032,0.0049012049309728285
M_0032_0323,0.027010412763755536
M_0108_0478_0479,0.006455576490221571
