,N31111U
N06351L,0.10083263676461145
N06411H,0.10576057531069058
N06421A,0.03359768562182367
N06421D,0.05581214944290398
N06421E,0.062130440686959935
N06421F,0.0
N06421G,0.07369939284854984
N06431Y,0.0
N31111S,0.0
N31111U,0.0
N31111W,0.05603073192675367
