,N06411H
N06351L,0.0031574730961447355
N06411H,0.0
N06421A,0.0038071172671514083
N06421D,0.016459564538491806
N06421E,0.015178468635253142
N06421F,0.03416005041979887
N06421G,0.012178177573721983
N06431Y,0.03344900077038332
N31111S,0.010962223389451565
N31111U,0.004511617919942885
N31111W,0.009539696376930841
