,0,1,2,3,4,5,6,7,avg,std
0,703.32,595.97,477.49,802.38,590.82,638.17,649.04,662.06,639.91,87.83
1,1189.25,847.65,768.13,1335.22,1576.97,767.8,1094.55,1089.63,1083.65,267.62
2,766.62,751.7,520.86,732.48,569.65,683.11,643.13,642.85,663.8,81.82
3,839.07,1172.41,650.63,1246.12,1011.34,1228.81,1032.82,960.69,1017.74,190.67
