,N29141A
N06691U,0.02401543853710987
N06731X,0.054823943927460775
N06731Y,0.02678189043842375
N26151X,0.026825675498448578
N29121G,0.0779531120160612
N29131B,0.0758356424435846
N29131C,0.030476594260019477
N29141A,0.0
N29142H,0.04605487088991496
N29131F,0.011866029854357137
