,N29131C
N06691U,0.07501251929122882
N06731X,0.061185240194760585
N06731Y,0.08447416887218084
N26151X,0.06347547802246441
N29121G,0.0696797040820634
N29131B,0.09112273303756703
N29131C,0.0
N29141A,0.059996175823823196
N29142H,0.08547216825721828
N29131F,0.0
