,N06691U,N06731X,N06731Y,N26151X,N29121G,N29131B,N29131C,N29141A,N29142H,N29131F
0,0.05205433750840516,0.1345720016411468,0.030671906153553773,0.08091986095222416,0.16929785175027973,0.0,0.10712264905809545,0.09222785231468653,0.011138469252922894,0.04054213127942988
1,0.04138981381117502,0.09963742453586148,0.024076945770951718,0.0651378847547006,0.10569367763590712,0.0,0.09112273303756703,0.0758356424435846,0.028209610463203857,0.03912795061775842
2,0.028482425892190164,0.07671107616968854,0.018012751145140102,0.054436272348780027,0.07426697718194371,0.0,0.06574482193084684,0.0643287738039522,0.02169812108212491,0.024596816689351302
3,0.026284997092568235,0.063505819034101,0.017153119864587067,0.0500772683639577,0.07866473021061883,0.0,0.05303073464112563,0.06061599969810554,0.021413940969727638,0.01996948788811905
4,0.03163887986488657,0.05946544405054323,0.01717150832107845,0.05238241840428423,0.07701498723512012,0.0,0.045995116337982964,0.06127099252801287,0.01939748858121368,0.01940064980467513
5,0.03556829831656331,0.054361743180414056,0.030181237728936917,0.054864283633047926,0.08022966505760998,0.0,0.04260630139468953,0.062123515971833215,0.02077393449485312,0.018228033352200187
6,0.03555300945947368,0.053645684576475505,0.029947175166149413,0.05529643381797179,0.08245213256782742,0.0,0.04402080552908998,0.06256558707881428,0.021260260271388175,0.018484022865027695
7,0.0426391424819326,0.05315995957529258,0.030589466491530073,0.05508232408618785,0.08000724551995701,0.0,0.042842149055019436,0.062231481949488486,0.022385357995184943,0.021849314716056584
8,0.04227591301843947,0.05435952760031179,0.03349850135301106,0.05615708457266074,0.08253547850779928,0.0,0.04272302572439978,0.06207459539187905,0.02266853335009032,0.024679005475310455
9,0.043303838508928605,0.05607631833739103,0.03347569634847329,0.0585870630197391,0.08140222236488583,0.0,0.045150221658236525,0.06284724787546077,0.02633512293695007,0.024489126770130976
10,0.04565273193608897,0.05642540594623892,0.036620003904462226,0.0584666602281462,0.08128588417804677,0.0,0.04847547473891963,0.0620112928926382,0.027481001384273267,0.025681881527050924
11,0.04998175154556916,0.0575454408208105,0.03757492291468888,0.06002367719799037,0.07944383224601594,0.0,0.049158138085703365,0.06138382655160547,0.02760620859947678,0.025153280918186183
