,N06691U,N06731X,N06731Y,N26151X,N29121G,N29131B,N29131C,N29141A,N29142H,N29131F
0,0.036474768281479115,0.1408173570261358,0.014845642862297125,0.0,0.04811491396748582,0.045487991758711335,0.08684176024438872,0.012022259739681278,0.018129634876546046,0.05722503375994396
1,0.026948715613026024,0.10200271100753341,0.010506999198822685,0.0,0.020648041731419986,0.029739238004245265,0.06347547802246441,0.026825675498448578,0.01680102562178854,0.056400694395601865
2,0.020907446579977264,0.06605646586869207,0.006282494685866645,0.0,0.0061460732197703705,0.01563012458056999,0.040971754010880164,0.017464435377029856,0.011130748689850423,0.04143026868926418
3,0.02477495016081755,0.04573833501101953,0.006380927388230237,0.0,0.004043339407236271,0.015693736740885002,0.03200421399887289,0.01734962561426094,0.009492306800878677,0.03303128241152394
4,0.026005292894260935,0.03840601204185849,0.009328304357845063,0.0,0.006922945530942859,0.020494036032819456,0.025942758719339314,0.01823227095607966,0.012880410334647898,0.02517934161262163
5,0.026921609668387404,0.0,0.011686335025797183,0.0,0.006244127749623129,0.02331251167725836,0.023525775295945354,0.018612882099813648,0.012785801536633628,0.024109457015536684
6,0.029644745622538826,0.0,0.011522201109455031,0.0,0.0063345534822192165,0.023163342376502274,0.02405770823417109,0.019518864788352963,0.014040018517482258,0.024072655543255495
7,0.03038768437195598,0.0,0.01312574014150969,0.0,0.008537388452285024,0.02772621595042796,0.027481492028355776,0.01991338444883851,0.015007803811962457,0.027114612332529136
8,0.03121896731553241,0.0,0.012947079221473735,0.0,0.009801539910588304,0.02986987520110998,0.027859898554522883,0.019777303134230446,0.015009864717711013,0.02715806076886676
9,0.031349395734794644,0.0,0.013950577940661317,0.0,0.010668485137219824,0.03183879714089938,0.032137351501227956,0.022308984246190315,0.01579275836272161,0.029061146008592675
10,0.034284791417483335,0.0,0.013956742399360775,0.0,0.011368220519049314,0.03185477698788898,0.035481784841505805,0.021344879788185934,0.01616297133691653,0.030799132232926227
11,0.03542720748582697,0.0,0.02082078421935816,0.0,0.010121034183626112,0.03235019949051154,0.04105863376189654,0.02288999248467159,0.019832759196463916,0.03166121521503075
