,N06691U,N06731X,N06731Y,N26151X,N29121G,N29131B,N29131C,N29141A,N29142H,N29131F
0,0.0313846099002494,0.13727521391165798,0.0171833211636915,0.05702418576843552,0.08146175308027565,0.04691157543840233,0.08178640623293908,0.0,0.017668953426881136,0.05390979831276794
1,0.02285538146128632,0.10822064927960434,0.01311938171820498,0.04569807260495644,0.03768190135783194,0.029396098587106474,0.059996175823823196,0.0,0.01531604822033024,0.05091368262228803
2,0.019070062194881884,0.06799660161224934,0.013796639077166417,0.039015935665384006,0.011788948142879724,0.013832765006486086,0.037712480579176706,0.0,0.011732078227626189,0.0
3,0.0207864654183765,0.04684664355182881,0.01388830930959498,0.044278968328954275,0.01263231125774856,0.013051284800336004,0.029000331091121084,0.0,0.010215040599366072,0.0
4,0.020128146570415888,0.04311738546860947,0.014903899154229258,0.044511666505742696,0.025112756777942665,0.013436273289308404,0.02259410610686453,0.0,0.011044645468038624,0.0
5,0.020042376199577886,0.03461503783242868,0.01564758241895099,0.04457408726278347,0.02288539514286968,0.013840135246951242,0.022584627254597922,0.0,0.010849156397247284,0.0
6,0.024343860899893963,0.037834758745828825,0.016705385634372672,0.04545062337902102,0.02328548392012924,0.013765950677119393,0.023292057535165993,0.0,0.012374771404488944,0.0
7,0.024734582623481195,0.037579011700329096,0.01684615045028792,0.04613654797021135,0.02343271022361729,0.017829090291708774,0.02630500094350797,0.0,0.014402549823411563,0.0
8,0.029850911518697162,0.03746843953169278,0.01743667261393045,0.04601647257088884,0.026143721905255334,0.01858463238794816,0.027886442537584443,0.0,0.015223108925393313,0.0
9,0.03007413196831035,0.04350275891465202,0.02029997955317483,0.0460452858493516,0.02663111784809844,0.020305399478241844,0.03426445070048396,0.0,0.01581696342053448,0.0
10,0.03076284089446351,0.04387542110065618,0.020302800206061237,0.04965776856893292,0.02904215036396675,0.019793804012258394,0.034949158746032015,0.0,0.01640458022633362,0.0
11,0.032514480889696336,0.04569924881862532,0.027508535155903065,0.05333860497076463,0.02744716678986103,0.020099088702284475,0.03937944251992824,0.0,0.01926287330296331,0.0
