,N06691U,N06731X,N06731Y,N26151X,N29121G,N29131B,N29131C,N29141A,N29142H,N29131F
0,0.0,0.06160188618863532,0.02601089332079325,0.039792623732928946,0.049732269316794205,0.03905604304629908,0.09439223501231857,0.031025498595941003,0.03226801088904391,0.05824992253374008
1,0.0,0.0455651749093988,0.02054238613487332,0.028429010009862785,0.027438981699520387,0.02949826243100449,0.07501251929122882,0.02401543853710987,0.029477420178659928,0.054353618560599615
2,0.0,0.03215494801620966,0.018247225997781745,0.02697208607154205,0.016384189427937377,0.019175140519202574,0.05413156612507969,0.021579154586578483,0.02338804059877176,0.0
3,0.0,0.026450003247007456,0.018441698065010018,0.02522481550169558,0.016398078957072952,0.018605638202356903,0.048804391463347016,0.019695498426824876,0.02386594500360662,0.0
4,0.0,0.02496590948286353,0.017527228500343044,0.02620788583204202,0.016364617567976508,0.01855740847006869,0.04953821558685743,0.02094636799415254,0.022728938486503186,0.0
5,0.0,0.02434714182138222,0.017261829030038704,0.027185545747541257,0.0216253390354133,0.018756260004274064,0.05212746005371572,0.021818979878035893,0.02298969179590073,0.0
6,0.0,0.0248149944145306,0.019214346270374816,0.028728404088354368,0.022409601872946203,0.022539943187117675,0.05786991439110951,0.022692518910075538,0.023162542962780693,0.0
7,0.0,0.02615199843626898,0.018759118305791963,0.028831297083093038,0.021808842040326466,0.022391142268633146,0.058231841783321234,0.0248825132378898,0.02337002627088974,0.0
8,0.0,0.026362545757383594,0.019544018558756485,0.03797509604005793,0.028267684967416926,0.024203170276347486,0.061495309718297676,0.02641527116218519,0.02357659661416138,0.0
9,0.0,0.02690351406717659,0.01903651515591998,0.03803001863383007,0.028386863769657836,0.024602754038374555,0.061254430155089225,0.02604991576155873,0.02336061415235585,0.0
10,0.0,0.02706260566436914,0.024009435245214625,0.03997163481616405,0.028398380322348284,0.024614106152893757,0.06536113108521686,0.02933961577442812,0.025023333242627503,0.0
11,0.0,0.028323552296784953,0.024193991918424772,0.04222156273820187,0.03182806921664038,0.02439138095369303,0.06667838179858573,0.030733847966174333,0.025625221414746102,0.0
