,N06691U,N06731X,N06731Y,N26151X,N29121G,N29131B,N29131C,N29141A,N29142H,N29131F
0,0.036100295048804264,0.08755934104123914,0.007127408340072109,0.05625828787248918,0.06182232692608956,0.0,0.0,0.04052272024459935,0.01911696512776636,0.04234490169885043
1,0.027027037575148155,0.07027711204925169,0.008833555880113935,0.047431589343530825,0.0357942044810459,0.023436084986656735,0.0,0.030476594260019477,0.018384838044893083,0.04802123107328462
2,0.021578988115707697,0.050542692317251114,0.0062956892606521936,0.04080200174530157,0.018065616751930167,0.012821289581296677,0.0,0.026103038806056095,0.01240206106471887,0.03277247217618923
3,0.021475122394404998,0.040572249555306,0.006178178947866142,0.038656637788191395,0.016767713217372575,0.01165107204097893,0.0,0.024583386315807136,0.012130473846067339,0.028657337746339724
4,0.022019891380766758,0.034717449057894825,0.006347829169190628,0.038429556693890005,0.01730267888506759,0.009680987147104877,0.0,0.024122934032470712,0.011354283272430543,0.0
5,0.022713041227674577,0.030313269389799412,0.005950961338348851,0.04183754815859904,0.017190940028200347,0.010302410876285657,0.0,0.027347209503732508,0.010739479707754839,0.0
6,0.02329001057802859,0.03023622767547439,0.005803116030346342,0.042542073275063055,0.01718700473388443,0.010590597251618997,0.0,0.02781851092066453,0.010390211699010669,0.0
7,0.023299768610562602,0.02955638641567256,0.006978388698739978,0.04433620622569564,0.019189599727990024,0.01119357850177476,0.0,0.02775324400293844,0.011291366695761492,0.0
8,0.027689923876602792,0.029888549542780786,0.0076126183693885265,0.04530293003237545,0.020106127736565668,0.01146287185336652,0.0,0.02813969422852463,0.012242570433222102,0.0
9,0.02780804011898471,0.0310985609996773,0.009037488082931248,0.04739174043818624,0.02345810185630116,0.013619135934244603,0.0,0.0278161513304652,0.013595316595764599,0.0
10,0.027793134892043218,0.03217033547163874,0.009606747881844582,0.04655141178121649,0.023304261328730015,0.014337803352053476,0.0,0.026899568409965442,0.01350901820543816,0.0
11,0.028408040564293826,0.03391885607569614,0.010043555890480954,0.046362625507674365,0.023966317638199203,0.014700138217646559,0.0,0.02681556904047786,0.013837438879223967,0.0
