,N06691U,N06731X,N06731Y,N26151X,N29121G,N29131B,N29131C,N29141A,N29142H,N29131F
0,0.03159200366159289,0.13051392168964313,0.020878055047114735,0.0363013555382401,0.0,0.038075078055764766,0.0796976535575143,0.04867053900571693,0.006906621901172168,0.03765667454095794
1,0.02498183138594807,0.10477337482427362,0.020231226336625663,0.03990360104161362,0.0,0.034642410054118895,0.0696797040820634,0.0779531120160612,0.03345712754382031,0.0
2,0.018133419940452745,0.07298329401841754,0.013657184611815424,0.04771914628081103,0.0,0.01968104009635967,0.053028182559757775,0.07332873416155115,0.02983948463440915,0.0
3,0.01766394080121701,0.061711419853923276,0.012307182317677096,0.048604865226805044,0.0,0.024408417384328085,0.04221271605577794,0.0717008822853899,0.03006537628907176,0.0
4,0.01619844986832225,0.06372866007018681,0.013651730727812082,0.048402394567532925,0.0,0.024523258091940413,0.035980050250133656,0.07466900373955394,0.028311951943777395,0.0
5,0.01996569587026358,0.056235767868157156,0.0253095806951133,0.06291416092500574,0.0,0.025775683256999183,0.03483887412926194,0.08065711792480425,0.028381128905535225,0.0
6,0.02266554714983667,0.05510287003044056,0.025346510924020217,0.0636509364227191,0.0,0.02570234746925421,0.03573510729734839,0.08385952752486939,0.028112441189597624,0.0
7,0.026511099031210475,0.05469818022457029,0.033186663715265456,0.07264208447390064,0.0,0.029513536979525256,0.035517739882614544,0.0871011680186383,0.0332639804909894,0.0
8,0.027936091974048952,0.05514016001165784,0.033888403268106784,0.07178928453478527,0.0,0.029644110911697916,0.03623458790351516,0.08785256203315969,0.033898880698162166,0.0
9,0.02967176836455622,0.054840686896212014,0.03416876094912566,0.07204138072038094,0.0,0.03966038001434525,0.03804167210366002,0.08775942598737825,0.035356286939153866,0.0
10,0.034887053428440444,0.055048364976294985,0.03569922457705771,0.07108717338086462,0.0,0.04145768976566701,0.040322107596220284,0.08549430647760604,0.03834561516763207,0.0
11,0.03771348036456428,0.05510484587583908,0.03753281775472795,0.07391332982319257,0.0,0.042673155259119404,0.045228523980769465,0.08578404724520058,0.03939372806190104,0.0
