,N06691U,N06731X,N06731Y,N26151X,N29121G,N29131B,N29131C,N29141A,N29142H,N29131F
0,0.12383676935820727,0.06690728304245207,0.0,0.04204092397306493,0.05988783583500756,0.05871257255120117,0.1033427104422848,0.031571025560769406,0.03719354358640498,0.0
1,0.10579905949495966,0.04787153182210483,0.0,0.03365225023570621,0.035051006580691726,0.04682029924445753,0.08447416887218084,0.02678189043842375,0.03486276896206192,0.044395049207925835
2,0.08961774002913839,0.03420694595956917,0.0,0.030162031930703406,0.0215325990095208,0.0422836748849029,0.06419514728295805,0.021592989563085085,0.02699976573897321,0.0
3,0.08594274938104991,0.02920075955694956,0.0,0.030757167318386826,0.023393123820960832,0.04181537815270758,0.060326220094382405,0.020159661111623074,0.024958459787358184,0.0
4,0.08402172501731527,0.026671731125871435,0.0,0.034328900309102475,0.022657935200814276,0.04110302571504481,0.06508890499876387,0.02267873863976147,0.024249665603517562,0.017986897286933534
5,0.08397541827205557,0.025551737709119685,0.0,0.035702425327678616,0.02407607210502373,0.04863173689014418,0.06400083490363766,0.02308091591068826,0.025572110949763603,0.01712887304454741
6,0.08882359325806033,0.026670787504760204,0.0,0.037666413474627986,0.02572893847839651,0.0496190243916252,0.06745642838503832,0.024955828325552046,0.026303000746557545,0.017362077194369246
7,0.09038050879369461,0.028301931840356117,0.0,0.039016634796748016,0.02442639490096704,0.049516040203306244,0.0709232434408823,0.026158606910130416,0.02597662938508347,0.02001653196658794
8,0.09743039597061336,0.028517432015540585,0.0,0.04132234263533285,0.027624235314919462,0.050145309229655224,0.07229689330002353,0.026215282815829313,0.026542475601679764,0.02018925891396643
9,0.09765922589279341,0.029350207469681297,0.0,0.043010517523060274,0.02708928019936806,0.050822862717833275,0.07185858887788536,0.026617684709637685,0.026426637706742046,0.02055717170692363
10,0.09674569930060958,0.030189686619098946,0.0,0.04516714089710699,0.027274836846670078,0.05082571322918378,0.07217578433224278,0.029781032686818015,0.02669802133081274,0.023660164355594916
11,0.09666097929220649,0.03417486868068288,0.0,0.04732595413105922,0.026319311862084405,0.05057156284724051,0.07657120170546242,0.03003868756811683,0.027411305411931892,0.02334901512134769
