,cd
M_0038_0037,0.05504910315291307
M_0037_0038,0.02132593528083858
M_0037_0779_0039_U,0.145225404000127
M_0191_0038,0.10289291138097266
M_0038_0191,0.2334286295454661
M_0039_0038,0.2080417435643746
M_0191_0852,0.10317989489014943
M_0852_0191,0.05847358802589988
M_0308_0011,0.10051141927377102
M_0011_0308,0.18492374164147524
M_0821_0190,0.1554387302402807
M_0323_0032,0.008917937301812
M_0821_0159,0.02909349930827958
M_0032_0323,0.05837463864509463
M_0015_0159,0.06339373196298648
M_0108_0478_0479,0.0
