,N29121G
N06691U,0.028398380322348284
N06731X,0.019308910725005693
N06731Y,0.027274836846670078
N26151X,0.011368220519049314
N29121G,0.0
N29131B,0.08128588417804677
N29131C,0.023304261328730015
N29141A,0.02904215036396675
N29142H,0.09107998448893977
N29131F,0.0
