,N29131C
N06691U,0.06536113108521686
N06731X,0.023908648364128853
N06731Y,0.07217578433224278
N26151X,0.035481784841505805
N29121G,0.040322107596220284
N29131B,0.04847547473891963
N29131C,0.0
N29141A,0.034949158746032015
N29142H,0.052883751357837426
N29131F,0.016424467700186643
