,N06731Y
N06691U,0.024009435245214625
N06731X,0.016753941856716862
N06731Y,0.0
N26151X,0.013956742399360775
N29121G,0.03569922457705771
N29131B,0.036620003904462226
N29131C,0.009606747881844582
N29141A,0.020302800206061237
N29142H,0.07561466776531872
N29131F,0.03590472987432429
