,N29131B
N06691U,0.018605638202356903
N06731X,0.0
N06731Y,0.04181537815270758
N26151X,0.015693736740885002
N29121G,0.024408417384328085
N29131B,0.0
N29131C,0.01165107204097893
N29141A,0.013051284800336004
N29142H,0.06538219617528125
N29131F,0.0
