detid,long,lat
N06351L,-2.250818,53.488037
N06411H,-2.253338,53.487007
N06411J,-2.251178,53.488517
N06421A,-2.254263,53.486439
N06421D,-2.255248,53.487797
N06421E,-2.252798,53.487187
N06421F,-2.251292,53.487819
N06421G,-2.252233,53.486112
N06431Y,-2.253718,53.486637
N31111S,-2.260317,53.489087
N31111U,-2.257865,53.489919
N31111W,-2.257531,53.488961
N31122B,-2.259055,53.489827
