N06421A
30.0
38.0
80.0
0.0
80.0
80.0
0.0
80.0
0.0
0.0
80.0
0.0
0.0
80.0
80.0
80.0
0.0
0.0
80.0
24.0
80.0
80.0
0.0
80.0
80.0
80.0
0.0
0.0
80.0
80.0
0.0
80.0
80.0
0.0
0.0
80.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
80.0
80.0
80.0
0.0
0.0
0.0
0.0
0.0
80.0
80.0
80.0
80.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
80.0
80.0
0.0
0.0
0.0
0.0
0.0
80.0
0.0
0.0
0.0
0.0
0.0
80.0
80.0
0.0
80.0
80.0
80.0
80.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
80.0
80.0
0.0
41.0
0.0
80.0
0.0
0.0
80.0
27.0
80.0
32.0
80.0
35.0
0.0
0.0
80.0
0.0
0.0
30.0
80.0
41.0
80.0
30.0
80.0
35.0
35.0
32.0
80.0
43.0
53.0
80.0
45.0
0.0
80.0
41.0
80.0
33.0
48.0
40.0
80.0
33.0
0.0
80.0
43.0
27.0
0.0
80.0
43.0
80.0
32.0
35.0
32.0
80.0
53.0
41.0
32.0
0.0
35.0
35.0
41.0
80.0
30.0
80.0
41.0
35.0
80.0
30.0
30.0
80.0
35.0
27.0
35.0
41.0
41.0
32.0
37.0
38.0
35.0
41.0
41.3849765258216
80.0
35.0
53.0
33.0
33.0
33.0
35.0
53.0
80.0
35.0
35.0
30.0
41.0
80.0
41.0
30.0
32.0
80.0
40.0
80.0
30.0
37.0
37.0
45.0
74.0
41.0
41.0
40.0
37.0
38.0
0.0
35.0
30.0
32.0
32.0
80.0
37.0
35.0
35.0
80.0
30.0
35.0
30.0
24.0
27.0
80.0
51.0
80.0
80.0
30.0
22.0
19.0
19.0
32.0
25.0
43.0
41.0
32.0
80.0
80.0
30.0
35.0
30.0
53.0
37.0
30.0
30.0
30.0
80.0
80.0
35.0
80.0
80.0
37.0
35.0
41.0
80.0
80.0
35.0
48.0
80.0
35.0
41.0
32.0
28.0
30.0
80.0
38.0
41.0
32.0
0.0
80.0
80.0
0.0
80.0
43.0
80.0
37.0
33.0
80.0
33.0
80.0
53.0
41.0
80.0
35.0
80.0
80.0
80.0
80.0
80.0
0.0
80.0
41.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
74.0
74.0
80.0
0.0
80.0
0.0
41.0
41.0
80.0
80.0
35.0
41.0
80.0
80.0
53.0
41.0
80.0
80.0
80.0
0.0
0.0
80.0
0.0
80.0
0.0
0.0
80.0
41.0
0.0
0.0
80.0
80.0
80.0
80.0
80.0
80.0
0.0
0.0
80.0
0.0
0.0
0.0
80.0
80.0
80.0
0.0
80.0
0.0
0.0
80.0
80.0
80.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
80.0
35.0
0.0
0.0
0.0
80.0
0.0
80.0
0.0
80.0
35.0
0.0
80.0
0.0
80.0
0.0
80.0
80.0
0.0
0.0
80.0
0.0
0.0
0.0
80.0
0.0
0.0
0.0
0.0
0.0
80.0
0.0
0.0
80.0
0.0
0.0
0.0
0.0
80.0
0.0
0.0
0.0
0.0
80.0
