N31111U
80.0
0.0
0.0
80.0
0.0
0.0
80.0
80.0
80.0
0.0
0.0
0.0
0.0
3.0
0.0
3.0
3.0
80.0
80.0
80.0
0.0
0.0
0.0
80.0
80.0
0.0
80.0
80.0
0.0
80.0
80.0
80.0
80.0
80.0
80.0
0.0
80.0
0.0
80.0
37.8947368421053
0.0
0.0
0.0
80.0
80.0
80.0
0.0
0.0
0.0
0.0
80.0
80.0
40.3738317757009
27.0
80.0
0.0
0.0
0.0
0.0
0.0
0.0
80.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
80.0
0.0
80.0
0.0
0.0
0.0
80.0
0.0
0.0
80.0
0.0
0.0
0.0
80.0
0.0
0.0
0.0
0.0
80.0
80.0
0.0
0.0
0.0
80.0
80.0
0.0
80.0
80.0
80.0
41.0
80.0
80.0
80.0
80.0
80.0
80.0
0.0
0.0
0.0
80.0
80.0
80.0
0.0
80.0
80.0
30.0
80.0
0.0
0.0
80.0
80.0
80.0
0.0
80.0
0.0
30.0
80.0
80.0
80.0
80.0
0.0
80.0
80.0
0.0
80.0
0.0
80.0
80.0
80.0
27.0
41.0
0.0
80.0
80.0
35.0
30.0
80.0
80.0
80.0
35.0
80.0
80.0
35.0
27.0
0.0
80.0
80.0
28.0
27.0
27.0
30.0
11.0
80.0
27.0
80.0
80.0
80.0
37.0
80.0
25.0
80.0
30.0
35.0
43.0769230769231
80.0
80.0
11.0
30.0
35.0
40.0
80.0
80.0
80.0
80.0
30.0
17.0
80.0
80.0
30.0
30.0
14.0
27.0
27.0
24.0
80.0
80.0
38.0
80.0
80.0
80.0
24.0
24.0
80.0
80.0
80.0
80.0
32.0
30.0
30.0
80.0
27.0
22.0
27.0
80.0
80.0
80.0
80.0
41.0
80.0
16.0
27.0
80.0
0.0
80.0
80.0
17.0
80.0
80.0
30.0
25.0
80.0
80.0
80.0
17.0
0.0
80.0
53.0
30.0
80.0
80.0
80.0
80.0
41.0
80.0
80.0
80.0
80.0
80.0
19.0
80.0
80.0
35.0
80.0
33.0
30.0
80.0
25.0
24.0
80.0
25.0
80.0
80.0
80.0
80.0
0.0
80.0
30.0
80.0
27.0
20.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
30.0
80.0
80.0
0.0
0.0
80.0
80.0
0.0
12.0
0.0
80.0
17.0
80.0
80.0
24.0
80.0
80.0
80.0
0.0
80.0
20.0
0.0
80.0
80.0
80.0
0.0
80.0
0.0
0.0
80.0
80.0
80.0
0.0
80.0
80.0
80.0
0.0
80.0
80.0
0.0
0.0
80.0
0.0
0.0
0.0
0.0
0.0
0.0
80.0
0.0
0.0
0.0
0.0
80.0
80.0
80.0
80.0
80.0
0.0
0.0
0.0
0.0
0.0
80.0
80.0
0.0
0.0
0.0
80.0
80.0
0.0
80.0
80.0
80.0
80.0
0.0
0.0
80.0
0.0
0.0
0.0
0.0
0.0
80.0
0.0
80.0
80.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
80.0
0.0
0.0
80.0
0.0
0.0
0.0
0.0
80.0
80.0
0.0
80.0
80.0
0.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
0.0
80.0
30.0
80.0
80.0
80.0
0.0
80.0
80.0
0.0
80.0
80.0
80.0
0.0
80.0
80.0
80.0
0.0
80.0
80.0
80.0
30.0
80.0
20.0
80.0
80.0
80.0
24.0
20.0
80.0
80.0
80.0
80.0
80.0
80.0
24.0
80.0
0.0
27.0
35.0
41.0
80.0
80.0
80.0
80.0
17.0
80.0
80.0
80.0
30.0
0.0
80.0
24.0
17.0
27.0
80.0
80.0
80.0
17.0
80.0
80.0
48.3582089552239
80.0
41.0
80.0
30.0
25.0
80.0
80.0
80.0
27.0
80.0
80.0
80.0
80.0
24.0
35.0
80.0
80.0
37.0
30.0
80.0
30.0
80.0
0.0
80.0
80.0
80.0
80.0
33.0
80.0
80.0
27.0
80.0
24.0
24.0
25.0
0.0
0.0
0.0
80.0
80.0
80.0
28.0
80.0
0.0
80.0
80.0
30.0
30.0
53.0
80.0
22.0
80.0
80.0
80.0
30.0
80.0
80.0
33.0
80.0
80.0
25.0
30.0
30.0
80.0
27.0
27.0
30.0
80.0
80.0
80.0
0.0
0.0
80.0
0.0
80.0
0.0
80.0
80.0
80.0
80.0
80.0
25.0
35.0
80.0
41.0
80.0
80.0
80.0
80.0
80.0
80.0
0.0
80.0
80.0
0.0
0.0
80.0
0.0
80.0
80.0
80.0
0.0
80.0
80.0
80.0
0.0
0.0
0.0
0.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
80.0
0.0
0.0
80.0
80.0
0.0
0.0
0.0
80.0
80.0
0.0
0.0
80.0
80.0
0.0
0.0
80.0
80.0
80.0
80.0
0.0
0.0
80.0
0.0
0.0
80.0
0.0
0.0
0.0
0.0
0.0
80.0
0.0
