,M_0038_0191,M_0191_0038,M_0039_0038,M_0037_0038,M_0038_0037,M_0108_0478_0479,M_0032_0323,M_0323_0032,M_0015_0159,M_0821_0159,M_0821_0190,M_0011_0308,M_0308_0011,M_0852_0191,M_0191_0852,M_0037_0779_0039_U
0,0.14969077517748716,0.0,0.13107524049147007,0.1941316393533163,0.07860883241519948,0.07863906016007376,0.12207913251252377,0.017965628250561257,0.12376633601141845,0.16360477235122048,0.14211755597385473,0.11887872708751829,0.05997936734213803,0.16542406168739343,0.12813819019521963,0.09566726019990732
1,0.08852893105444905,0.0,0.07251750787203652,0.09426823640479597,0.04601546116788803,0.04336373921376408,0.06575487392718064,0.00348639821142903,0.0835214797387118,0.1007735629154711,0.07379227311953805,0.06094145330566502,0.03059888317937262,0.09349471056789807,0.08799738618213761,0.06178956729623803
2,0.06696390535859685,0.0,0.0509113925699703,0.07605081633180132,0.03532451414154334,0.03569967218976451,0.05016248614617744,0.00502989925322847,0.06400907382880937,0.08865183759365979,0.04924675464888716,0.03474114599012104,0.020674026049975255,0.07488919364710557,0.07877086562923517,0.05024776929469123
3,0.05907705645956659,0.0,0.04118277771303907,0.07251081662755621,0.03085459522767217,0.03582387539383986,0.04649573518878229,0.005470459436871612,0.05151694069832608,0.08600179292649217,0.040675844378104335,0.02377601208694147,0.016387303484252616,0.06714454063100195,0.07030466821726236,0.04568600965860514
4,0.05110267942807593,0.0,0.03968866880225744,0.07223369631555,0.02869840552895469,0.036053509453514224,0.044617423348848134,0.007743696493541292,0.04356750064588783,0.09053975121896203,0.03772239056594835,0.019706649667702598,0.012517801169574594,0.053125327245280234,0.06637546517547888,0.04284446189551935
5,0.05067688819316714,0.0,0.04006311096778547,0.07118918097952727,0.029574574308572656,0.03656060317470241,0.044679161787987816,0.0072033637261802695,0.04151192705135328,0.09181808370992664,0.04081486873826983,0.019992490137062894,0.011612994353437645,0.053302475819430144,0.06605645431466355,0.04284569754853468
6,0.04943235845463345,0.0,0.04281595134684239,0.08026275841160949,0.03193679634569918,0.03776925265843511,0.046299254082514806,0.007942954584475857,0.040588194822647645,0.09967848343436374,0.047429630374719714,0.020540442463496542,0.01044561740917505,0.05175913970014607,0.06718769001451298,0.04420482592423422
7,0.04996066110868584,0.0,0.04864785299367768,0.08038455919699432,0.031242259119883552,0.03638195293658382,0.04509822902924223,0.007431767019325386,0.040744687864221085,0.09938980705630993,0.05213083393892803,0.021221670656043308,0.010188896521887645,0.05164156587067533,0.06685904798400226,0.044939632278311
8,0.051017617415813066,0.0,0.05145660166927708,0.08170046070044092,0.03221086665450963,0.03590569270697773,0.04490784768717225,0.007973053411744131,0.041506986245630914,0.10192789069139732,0.0560250238260293,0.023458384139681165,0.009919880502565958,0.0528988718217466,0.06806469653559717,0.0463518827937362
9,0.052476494805925075,0.0,0.05372767370194813,0.08744134023778606,0.03240404280038396,0.03653795613315436,0.04634630829152993,0.008379200128135634,0.04373698792900329,0.10661440348307297,0.056550115848506916,0.02340271965082186,0.010046168371671728,0.055060925410475754,0.06820371167378368,0.04958955419470765
10,0.05242513287173558,0.0,0.05499963302251966,0.08261590831688206,0.031533857847216754,0.035947065275263444,0.0436898265170911,0.008925312746426857,0.04539196184675659,0.1013723955586225,0.05832556814478241,0.024124843746016204,0.010575949174105634,0.053119183399141665,0.0677100571583261,0.050445151387600994
11,0.05726905292022197,0.0,0.056937127757070306,0.09194876320252976,0.03250761596249442,0.03586083272084794,0.04535907500264595,0.00909354021601472,0.04619768607473495,0.10930982937507183,0.05865087902952619,0.024225365179165865,0.01052973377434993,0.05910177160915231,0.069251017354817,0.05400768652545298
