,cd
M_0038_0037,0.03412849046666119
M_0037_0038,0.08713724230926874
M_0037_0779_0039_U,0.03808274475828241
M_0191_0038,0.04571022190844408
M_0038_0191,0.05053474075385893
M_0039_0038,0.09079938221957032
M_0191_0852,0.045050181198656794
M_0852_0191,0.04880654108058127
M_0308_0011,0.030459723088688512
M_0011_0308,0.05852496018473544
M_0821_0190,0.05993589289555858
M_0323_0032,0.0057610184787167526
M_0821_0159,0.08196514684829936
M_0032_0323,0.0780353758985843
M_0015_0159,0.04327240295605807
M_0108_0478_0479,0.0
