,N06421E
N06351L,0.02732969324428871
N06411H,0.031651829853460337
N06421A,0.0
N06421D,0.016427151953935494
N06421E,0.0
N06421F,0.015583427406903737
N06421G,0.029400690368780787
N06431Y,0.024464215311361722
N31111S,0.03201731907492796
N31111U,0.0083073529663424
N31111W,0.02354727550370533
