,N06411H
N06351L,0.003186866313896353
N06411H,0.0
N06421A,0.0062474519541228
N06421D,0.021176664926701297
N06421E,0.009140276554957659
N06421F,0.03338410803475607
N06421G,0.01748655702757233
N06431Y,0.027257822610142042
N31111S,0.007685147667211359
N31111U,0.007689429253818941
N31111W,0.01575166683144881
