,cd
M_0038_0037,0.034888393511273215
M_0037_0038,0.0907477037351882
M_0037_0779_0039_U,0.04080691623492723
M_0191_0038,0.04822826261570787
M_0038_0191,0.051011076409474505
M_0039_0038,0.09330867924131155
M_0191_0852,0.045854885145664485
M_0852_0191,0.055072066913049236
M_0308_0011,0.03209819474649044
M_0011_0308,0.06151180696166936
M_0821_0190,0.06857775831380995
M_0323_0032,0.005344242234618902
M_0821_0159,0.08280397510378115
M_0032_0323,0.07901388170410659
M_0015_0159,0.04465984291289768
M_0108_0478_0479,0.0
