,cd
M_0037_0779_0039_U,0.025481434895260814
M_0037_0038,0.03334410510698599
M_0038_0037,0.0
M_0191_0038,0.013777192267402044
M_0038_0191,0.04032151353096648
M_0191_0852,0.016845265938008384
M_0852_0191,0.026519479141785565
M_0039_0038,0.015920399317109195
M_0308_0011,0.014758220594103283
M_0011_0308,0.012597077930407152
M_0821_0190,0.015529255923197741
M_0821_0159,0.03689358269425878
M_0323_0032,0.008330561820791078
M_0032_0323,0.0334353697517774
M_0015_0159,0.024740029093426482
M_0108_0478_0479,0.014055261089940698
