﻿level6 LINK ID,연월,평일 / 주말,주요시간대,도로등급,시도명,시군구명,읍면동명,15% 주행속도 (km/h),25% 주행속도 (km/h),30% 주행속도 (km/h),50% 주행속도 (km/h),75% 주행속도 (km/h),85% 주행속도 (km/h),평균속도 (km/h),속도 표준편차 (km/h),최대속도 (km/h)
57160367001,202110,평일,8,특별광역시도,서울특별시,강남구,대치1동,20,20,20,22,24,26,21.22,5.51,27
57160367101,202110,평일,8,특별광역시도,서울특별시,강남구,대치2동,19,19,19,22,26,29,23,3.95,29
57160368201,202110,평일,7,특별광역시도,서울특별시,강남구,일원본동,16,16,16,16,21,21,18.5,2.5,21
57160368201,202110,평일,8,특별광역시도,서울특별시,강남구,일원본동,12,12,14,14,18,19,15.75,2.86,19
57160368202,202110,평일,7,특별광역시도,서울특별시,강남구,일원본동,29,29,29,29,36,36,32.5,3.5,36
57160368202,202110,평일,8,특별광역시도,서울특별시,강남구,일원본동,12,13,21,24,25,31,22.17,7.92,33
57160370001,202110,평일,7,특별광역시도,서울특별시,강남구,도곡2동,27,27,27,32,52,52,37,10.8,52
57160370001,202110,평일,8,특별광역시도,서울특별시,강남구,도곡2동,16,25,25,29,32,35,26.78,6.94,35
57160371401,202110,평일,7,특별광역시도,서울특별시,강남구,도곡2동,24,26,26,27,28,35,28,3.74,35
57160371401,202110,평일,8,특별광역시도,서울특별시,강남구,도곡2동,21,22,22,24,34,35,25.45,6.83,35
57160375501,202110,평일,7,특별광역시도,서울특별시,강남구,도곡2동,28,29,29,32,38,41,33.8,5.65,42
57160375501,202110,평일,8,특별광역시도,서울특별시,강남구,도곡2동,27,28,28,30,34,34,30.65,4.04,42
57160379901,202110,평일,7,특별광역시도,서울특별시,강남구,개포2동,13,13,15,18,25,30,19.75,8.2,36
57160379901,202110,평일,8,특별광역시도,서울특별시,강남구,개포2동,10,12,12,13,28,29,20.56,11.45,44
57160379902,202110,평일,7,특별광역시도,서울특별시,강남구,개포2동,28,28,30,30,38,42,34.5,5.72,42
57160379902,202110,평일,8,특별광역시도,서울특별시,강남구,개포2동,22,28,28,30,34,35,31.08,7.36,50
57160385601,202110,평일,7,특별광역시도,서울특별시,강남구,개포4동,10,11,11,19,42,46,28.37,23.39,107
57160385601,202110,평일,8,특별광역시도,서울특별시,강남구,개포4동,10,14,15,20,33,34,22.23,10.87,49
57160385602,202110,평일,7,특별광역시도,서울특별시,강남구,개포4동,17,20,20,22,59,66,37.5,23.41,86
57160385602,202110,평일,8,특별광역시도,서울특별시,강남구,개포4동,20,21,22,32,40,42,34,16.97,83
57160388701,202110,평일,7,특별광역시도,서울특별시,강남구,일원2동,26,30,32,34,39,43,33.76,8.05,47
57160388701,202110,평일,8,특별광역시도,서울특별시,강남구,일원2동,33,33,35,38,42,44,37.96,6.07,48
