,N29121G
N06691U,0.016364617567976508
N06731X,0.018966168586570988
N06731Y,0.022657935200814276
N26151X,0.006922945530942859
N29121G,0.0
N29131B,0.07701498723512012
N29131C,0.01730267888506759
N29141A,0.025112756777942665
N29142H,0.07942093339078268
N29131F,0.0
