N06621D
38.0
38.0
33.0
40.0
33.0
35.0
38.0
38.0
33.0
35.0
37.0
38.0
35.0
43.0
38.0
43.0
38.0
35.0
33.0
35.0
40.0
48.0
46.0
35.0
38.0
35.0
35.0
38.0
37.0
41.0
19.0
80.0
37.0
74.0
46.0
38.0
37.0
80.0
41.0
38.9974293059126
32.0
41.0
43.0
35.0
30.0
32.510460251046
35.0
35.0
30.0
50.2063412179165
43.2992446252179
42.1734104046243
45.1809930592632
43.0
53.0
80.0
40.0
35.0
37.0
48.0
35.0
30.0
30.0
35.0
38.0
43.0
45.0
37.0
80.0
33.0
41.0
48.0
80.0
41.0
38.0
30.0
40.0
27.0
80.0
80.0
80.0
41.0
32.0
35.0
80.0
35.0
30.0
30.0
40.0
30.0
38.0
38.0
38.0
46.4628820960699
33.0
35.0
74.0
35.0
37.0
37.0
48.0
32.0
33.0
38.0
33.0
37.0
40.0
33.0
37.0
40.0
41.0
41.0
41.0
43.0
37.0
35.0
40.0
33.0
38.0
37.0
45.0
38.0
40.0
37.0
38.0
35.0
43.0
38.0
38.0
38.0
35.0
35.0
37.0
41.0
37.0
38.0
33.0
40.0
38.0
40.0
35.0
35.0
38.0
35.0
38.0
41.0
37.0
40.0
37.0
37.0
38.0
37.0
37.0
33.0
37.0
35.0
35.0
35.0
37.0
37.0
40.0
40.0
33.0
37.0
37.0
37.0
48.0
37.0
37.0
37.0
35.0
53.0
38.0
38.0
38.0
37.0
37.0
38.0
38.0
35.0
37.0
33.0
38.0
38.0
38.0
37.0
41.0
37.0
37.0
40.0
35.0
37.0
40.0
35.0
38.0
41.0
38.0
33.0
38.0
37.0
38.0
37.0
40.0
37.0
33.0
35.0
37.0
35.0
37.0
37.0
35.0
38.0
35.0
33.0
37.0
37.0
33.0
37.0
38.0
38.0
35.0
35.0
33.0
35.0
33.0
35.0
37.0
41.0
35.0
33.0
33.0
33.0
35.0
37.0
40.0
38.0
40.0
35.0
37.0
35.0
33.0
38.0
38.0
35.0
37.0
37.0
37.0
40.0
40.0
35.0
37.0
35.0
35.0
38.0
37.0
37.0
37.0
37.0
40.0
38.0
38.0
37.0
38.0
37.0
38.0
38.0
38.0
33.0
40.0
32.0
45.0
43.0
43.0
40.0
37.0
33.0
37.0
38.0
38.0
37.0
35.0
40.0
43.0
40.0
40.0
33.0
32.0
38.0
45.0
38.0
40.0
40.0
32.0
38.0
37.0
38.0
38.0
38.0
35.0
33.0
38.0
38.0
40.0
33.0
33.0
35.0
33.0
40.0
37.0
37.0
40.0
45.0
38.0
35.0
37.0
41.0
33.0
40.0
43.0
38.0
41.0
40.0
53.0
35.0
33.0
51.0
35.0
45.0
46.0
51.0
38.0
33.0
33.0
35.8259154929577
41.0
41.0
41.0
36.3169617361508
33.6552498596294
35.3707995365006
33.0
48.1923419412289
35.0
37.0
35.0
33.0
40.0
41.0
30.0
40.0
35.0
51.0
32.0
35.0
30.0
35.0
30.0
35.0
38.0
53.0
33.0
30.0
41.0
41.0
80.0
80.0
35.0
80.0
80.0
53.0
40.0
41.0
80.0
41.0
80.0
80.0
53.0
33.0
45.0
45.0
45.0
39.622641509434
38.0
43.0
46.0
43.0
35.0
33.0
41.0
38.0
41.0
80.0
35.0
80.0
46.0
35.0
41.0
35.0
80.0
43.0
37.0
38.0
32.0
35.0
35.0
41.0
41.0
40.0
45.0
33.0
43.0
57.0
37.0
38.0
37.0
40.0
40.0
43.0
38.0
37.0
38.0
38.0
40.0
37.0
35.0
38.0
38.0
37.0
38.0
37.0
37.0
38.0
35.0
38.0
40.0
40.0
48.0
51.0
43.0
35.0
37.0
37.0
38.0
35.0
38.0
38.0
40.0
35.0
40.0
33.0
37.0
49.0
41.0
38.0
40.0
40.0
35.0
38.0
35.0
35.0
35.0
37.0
35.0
35.0
45.0
38.0
41.0
35.0
38.0
41.0
40.0
33.0
35.2015248657079
37.0
37.0
37.0
37.0
38.0
37.0
32.0
37.0
37.0
35.0
35.0
37.0
35.0
33.0
40.0
37.0
40.0
49.0
38.0
33.0
37.0
40.0
37.0
38.0
37.0
35.0
35.0
37.0
37.0
40.0
38.0
37.0
38.0
35.0
35.0
33.0
37.0
38.0
35.0
37.0
38.0
38.0
37.0
33.0
32.0
40.0
33.0
35.0
35.0
35.0
37.0
40.0
37.0
37.0
37.0
38.0
35.0
38.0
37.0
38.0
41.0
38.0
38.0
40.0
37.0
37.0
41.0
33.0
41.0
45.0
37.0
37.0
38.0
41.0
45.0
40.0
40.0
41.0
49.0
37.0
33.0
38.0
33.0
40.0
41.0
33.0
43.0
37.0
35.0
46.0
40.0
41.0
33.0
40.0
35.0
38.0
38.0
43.0
53.0
35.0
40.0
37.0
33.0
43.0
41.0
38.0
33.0
33.0
33.0
38.0
38.0
38.0
35.7821011673152
33.0
33.0
33.0
33.0
33.0
38.0
38.0
38.0
38.0
38.0
38.0
37.5881502890173
37.0
37.0
35.7841672890217
40.1822323462415
41.0026385224274
35.0
80.0
34.4
64.0
80.0
80.0
33.8911845730028
80.0
48.2240965720034
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
43.0
51.3884007029877
80.0
80.0
80.0
80.0
80.0
41.0
80.0
80.0
35.0
80.0
80.0
80.0
80.0
80.0
80.0
35.0
53.0
80.0
80.0
41.0
80.0
35.0
53.0
35.0
35.0
80.0
80.0
80.0
80.0
80.0
41.0
41.0
38.0
80.0
80.0
80.0
80.0
48.0
40.0
37.0
41.0
37.0
40.0
40.0
40.0
36.8932038834951
33.0
35.0
38.0
37.0
37.0
38.0
37.0
37.0
38.0
37.0
35.0
37.0
41.0
35.0
38.0
35.0
37.0
37.0
37.0
38.0
37.0
38.0
38.0
38.0
38.0
32.0
35.0
35.0
35.0
33.9632968448165
