N06461E
33.0
24.0
32.0
32.0
28.0
35.0
32.0
37.0
28.0
33.0
32.0
20.0
32.0
37.0
32.0
35.0
33.0
32.0
37.0
33.0
33.0
30.0
38.0
27.0
35.0
37.0
37.0
35.0
32.0
35.0
32.0
38.0
41.0
46.0
33.0
37.0
38.0
33.0
40.0
39.1287128712871
37.0
32.0
38.0
38.0
35.0
35.0
35.0
35.0
30.0
35.0
38.0
37.0
34.753320683112
37.7142857142857
40.0
37.0
32.0
40.0
37.0
38.0
37.0
32.0
41.0
38.0
45.0
37.0
45.0
40.0
48.0
33.0
35.0
37.0
35.0
41.0
33.0
35.0
33.0
35.0
43.0
38.0
37.0
32.0
40.0
41.0
37.0
28.0
28.0
32.0
33.0
43.0
30.0
30.0
30.0
28.1954887218045
32.0
38.0
30.0
28.0
32.0
33.0
32.0
32.0
35.0
32.0
35.0
37.0
35.0
37.0
37.0
35.0
28.0
28.0
35.0
33.0
30.0
32.0
33.0
30.0
30.0
27.0
30.0
33.0
28.0
32.0
30.0
28.0
32.0
30.0
28.0
28.0
28.0
28.0
30.0
32.0
28.0
30.0
32.0
27.0
32.0
30.0
30.0
28.0
33.0
28.0
30.0
28.0
27.0
32.0
32.0
32.0
33.0
30.0
30.0
30.0
32.0
28.0
30.0
30.0
32.0
32.0
27.0
33.0
30.0
32.0
32.0
30.0
28.0
28.0
30.0
28.0
32.0
30.0
28.0
27.5278592375367
30.0
30.0
37.0
28.0
33.0
28.0
30.0
22.0
20.0
16.5565217391304
19.0
14.0
27.0
28.0
28.0
32.0
30.0
30.0
30.0
32.0
32.0
30.0
30.0
32.0
30.0
35.0
32.0
35.0
28.0
32.0
32.0
32.0
30.0
32.0
28.0
32.0
28.0
30.0
35.0
30.0
30.0
32.0
33.0
35.0
32.0
30.0
28.0
28.0
37.0
28.0
28.0
30.0
30.0
33.0
28.0
30.0
28.0
30.0
33.0
33.0
27.0
30.0
27.0
30.0
33.0
32.0
30.0
30.0
33.0
32.0
28.0
32.0
30.0
30.0
33.0
32.0
32.0
37.0
30.0
30.0
33.0
30.0
33.0
30.0
30.0
35.0
35.0
33.0
33.0
30.0
32.0
28.0
41.0
30.0
30.0
30.0
35.0
32.0
35.0
30.0
30.0
32.0
