N06482K
80.0
1.0
6.0
1.0
80.0
80.0
4.0
80.0
80.0
3.0
3.0
0.0
3.0
1.0
3.0
0.0
0.0
0.0
0.0
4.0
0.0
1.0
0.0
0.0
1.0
1.0
1.0
3.0
0.0
80.0
1.0
0.0
1.0
1.0
0.0
0.0
1.0
0.0
0.0
0.0
80.0
0.0
1.0
1.0
80.0
5.78313253012048
3.0
1.28571428571429
1.0
80.0
0.0
0.0
0.0
0.0
0.0
80.0
0.0
0.0
3.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
80.0
0.0
0.0
1.0
0.0
0.0
0.0
4.0
1.0
0.0
0.0
0.0
0.0
0.0
1.0
0.0
0.0
0.0
80.0
0.0
1.0
0.0
1.0
3.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
3.0
0.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
3.0
80.0
0.0
0.0
80.0
3.0
1.0
0.0
0.0
1.0
80.0
0.0
1.0
1.0
1.0
4.0
1.0
1.0
1.0
80.0
0.0
80.0
80.0
1.0
3.0
0.0
80.0
3.0
3.0
0.0
1.0
0.0
80.0
3.0
3.0
0.0
1.0
1.0
0.0
0.0
1.0
1.0
3.0
8.0
3.0
80.0
1.0
1.0
0.0
80.0
3.0
3.0
3.0
0.0
1.0
1.0
1.0
3.0
3.0
3.0
0.0
0.0
0.0
0.0
0.0
80.0
3.0
4.0
0.0
0.0
0.0
1.0
0.0
1.0
0.0
80.0
1.0
3.0
80.0
1.0
1.0
0.0
0.0
0.0
0.0
80.0
1.0
1.0
3.0
1.0
0.0
0.0
1.0
80.0
0.0
1.0
0.0
80.0
0.0
0.0
0.0
1.0
3.0
1.0
0.0
0.0
0.0
0.0
0.0
80.0
0.0
0.0
80.0
1.0
3.0
1.0
3.0
1.0
80.0
0.0
0.0
0.0
80.0
3.0
1.0
80.0
6.0
1.0
3.0
3.0
0.0
0.0
80.0
3.0
3.0
19.0
3.0
1.0
1.0
80.0
0.0
0.0
1.0
80.0
1.0
6.0
3.0
0.0
80.0
0.0
0.0
0.0
0.0
80.0
1.0
0.0
3.0
1.0
1.0
3.0
1.0
1.0
1.0
4.0
4.0
1.0
1.0
1.0
1.0
20.0
0.0
80.0
4.0
1.0
1.0
0.0
0.0
0.0
0.0
3.0
0.0
0.0
3.0
0.0
0.0
80.0
3.0
0.0
0.0
1.0
3.0
0.0
4.0
80.0
80.0
0.0
1.0
0.0
80.0
1.0
80.0
80.0
0.0
1.0
0.0
3.0
0.0
0.0
1.0
0.0
0.0
80.0
1.0
0.0
0.0
0.0
80.0
0.0
80.0
3.0
3.0
80.0
80.0
80.0
80.0
80.0
1.0
0.0
0.0
0.0
0.0
0.0
4.0
80.0
1.0
0.0
0.0
80.0
0.0
1.0
1.0
1.0
1.0
3.0
0.0
1.0
0.0
0.0
0.0
1.0
0.0
0.0
0.0
0.0
80.0
0.0
0.0
80.0
0.0
0.0
0.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
4.0
3.0
0.0
3.0
3.0
1.0
80.0
1.0
1.0
0.0
1.0
0.0
1.0
0.0
0.0
80.0
80.0
80.0
0.0
3.0
0.0
0.0
0.0
0.0
0.0
80.0
80.0
1.0
1.0
0.0
80.0
1.0
6.0
0.0
0.0
80.0
1.0
80.0
0.0
0.0
80.0
1.0
0.0
0.0
0.0
0.0
80.0
0.0
0.0
0.0
80.0
1.0
3.0
1.0
0.0
3.0
0.0
3.0
3.0
3.0
3.0
0.0
80.0
1.0
1.0
1.0
3.0
1.0
1.0
1.0
3.0
3.0
0.0
1.0
1.0
6.0
0.0
80.0
0.0
1.0
1.0
1.0
3.0
2.0
4.0
1.0
1.0
0.0
1.0
3.0
80.0
0.0
80.0
3.0
1.0
4.0
0.0
0.0
80.0
3.0
0.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
9.0
3.0
3.0
80.0
1.0
3.0
1.0
80.0
3.0
8.0
3.0
3.0
1.0
80.0
0.0
0.0
0.0
0.0
0.0
1.0
1.0
3.0
0.0
80.0
1.0
1.0
1.0
1.0
80.0
1.0
1.0
0.0
80.0
1.0
1.0
1.0
0.0
3.0
3.0
1.0
1.0
0.0
0.0
0.0
1.0
3.0
80.0
80.0
0.0
4.0
80.0
80.0
80.0
8.0
0.0
0.0
80.0
80.0
1.0
8.0
1.0
1.0
80.0
0.0
0.0
0.0
4.0
3.0
0.0
3.0
0.0
0.0
0.0
0.0
80.0
3.0
0.0
0.0
0.0
80.0
0.0
0.0
1.0
1.0
1.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
80.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
80.0
80.0
80.0
1.0
1.0
1.0
1.0
0.0
1.0
1.0
1.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
3.0
3.0
0.0
0.0
1.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
80.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
80.0
0.0
1.0
0.0
0.0
0.0
0.0
0.0
1.0
0.0
0.0
0.0
0.0
0.0
80.0
1.0
4.0
0.0
4.0
1.0
3.0
4.0
1.0
0.0
3.0
8.0
1.0
0.0
0.0
1.0
3.0
0.0
1.0
1.0
1.0
1.0
1.5
1.0
3.0
4.0
4.47204968944099
80.0
1.97530864197531
1.0
80.0
9.04109589041096
6.0
2.4
1.0
1.71428571428571
1.90909090909091
1.8
3.0
80.0
80.0
9.04109589041096
1.71428571428571
3.0
3.0
11.1627906976744
1.17647058823529
1.0
3.21787709497207
1.0
1.0
0.0
0.0
0.0
3.0
1.0
4.0
80.0
1.0
0.0
80.0
1.0
1.2
1.13513513513514
1.2
3.0
1.4
1.0
3.0
3.65217391304348
3.27272727272727
3.0
3.0
3.0
2.14285714285714
4.75
4.75
1.0
2.92682926829268
15.4385964912281
5.82352941176471
3.0
1.0
1.0
1.0
1.28571428571429
3.0
0.0
1.0
0.0
80.0
80.0
4.0
0.0
80.0
80.0
1.0
0.0
10.9090909090909
4.0
1.0
1.0
0.0
0.0
0.0
0.0
1.8
1.0
80.0
80.0
2.0
1.0
1.0
1.0
1.73684210526316
3.0
1.0
1.0
4.41717791411043
80.0
1.24610591900312
80.0
1.94117647058824
3.0
80.0
80.0
3.21428571428572
4.0
3.5
4.0
3.0
3.0
1.0
1.0
1.5
3.0
80.0
80.0
3.77142857142857
3.0
1.0
1.0
1.0
1.0
1.5
3.0
1.5
1.0
1.8
1.0
1.8
3.0
4.53900709219858
4.0
1.49068322981366
1.0
1.0
0.0
1.0
1.0
80.0
80.0
80.0
0.0
